"Gene","NR3C1"
"AS3MT",0.258797812
"ASAHL",0.064888651
"ASAM",0.188065554
"ASB1",-0.318018554
"ASB13",0.056620976
"ASB16",-0.560833839
"ASB3",0.372372422
"ASB8",-0.016371913
"ASCC1",-1.403693506
"ASCC2",-0.088360554
"ASCC3",0.240375118
"ASCL1",-0.441221563
"ASCL2",-0.016804961
"ASCL3",-0.338235527
"ASCL5",0.410383726
"ASF1A",-1.561608375
"ASF1B",2.601605261
"ASGR2",-0.1308897
"ASH1L",-0.536993102
"ASH2L",0.012606156
"ASL",0.743521119
"ASNA1",-0.937915687
"ASNS",0.277069659
"ASPHD2",-0.125538928
"ASS1",-0.483712731
"ASXL1",0.037463402
"ASXL2",-0.796135407
"ATAD2",0.068263871
"ATAD2B",-0.217802505
"ATAD3A",0.051079536
"ATAD3B",-0.026580246
"ATAD3C",-0.332968362
"ATBF1",0.114383071
"ATF2",0.630374497
"ATF3",-0.451316483
"ATF7",-0.029147731
"ATF7IP",-0.079685552
"ATF7IP2",-0.141858581
"ATG16L1",1.95652311
"ATG5",-0.187279079
"ATG7",0.304195312
"ATHL1",-0.879819791
"ATM",0.33142793
"ATN1",-0.414927953
"ATOH1",-0.117641257
"ATOH7",-0.096716608
"ATOH8",-0.122864152
"ATOX1",0.354715803
"ATP10B",-0.21970899
"ATP10D",-0.219855653
"ATP11A",0.628393412
"ATP11C",-0.200914871
"ATP1A3",-0.514307158
"ATP1B1",-2.13838169
"ATP1B4",-0.108100675
"ATP2A2",-2.471818975
"ATP2B4",-0.203548021
"ATP2C1",0.59175698
"ATP4A",-0.339829762
"ATP5A1",0.031050028
"ATP5G2",-0.01812204
"ATP5H",-0.106934231
"ATP5I",-0.132960274
"ATP5J2",0.039326844
"ATP5L",-1.35969318
"ATP6AP1",-0.122664011
"ATP6V0C",0.194571526
"ATP6V0E1",0.008144246
"ATP6V0E2",-0.053731605
"ATP6V1A",-0.046164787
"ATP6V1B2",-0.040374159
"ATP6V1C2",-0.939787612
"ATP6V1G1",0.105500152
"ATP6V1H",0.163844791
"ATP7B",-1.003967029
"ATP8B1",-0.218658999
"ATPIF1",-0.053140527
"ATRNL1",-0.032761876
"ATRX",-0.105024354
"ATXN1",-0.364385376
"ATXN3",2.473439201
"ATXN3L",-0.080255582
"ATXN7",-0.035063476
"ATXN7L1",-0.050496647
"ATXN7L3",-0.194669874
"ATXN7L4",-0.127464616
"AURKA",0.01332514
"AVIL",-0.154817492
"AVPR1A",-0.044433041
"AXUD1",0.091434253
"AZGP1",-0.534360506
"AZIN1",-0.013564096
"B3GALNT1",-0.115494371
"B3GALT4",0.435592896
"B3GAT2",-0.354657257
"B3GAT3",0.257613894
"B3GNT2",-0.722300486
"B3GNT5",0.687329177
"B3GNT6",-0.318594055
"B4GALNT2",-0.226849237
"B4GALT2",1.113927509
"B4GALT4",3.91435995
"B4GALT5",-0.236528689
"B4GALT6",0.129543693
"BACH1",-1.30558037
"BACH2",-0.405416027
"BAG3",-0.3823102
"BAHD1",1.116218668
"BAMBI",-0.036557514
"BANK1",0.051015568
"BAP1",1.865361199
"BAPX1",0.081410651
"BARD1",-0.233395346
"BARHL1",-0.000938671
"BARHL2",-0.212899103
"BARX1",-0.098982877
"BARX2",-0.31622522
"BASP1",-0.059648746
"BAT1",0.381516215
"BATF",-0.231956224
"BATF2",0.122855366
"BAZ1A",-0.425257049
"BAZ1B",1.264786538
"BAZ2A",-0.025757806
"BAZ2B",-0.093435276
"BBOX1",0.921007482
"BBS10",-0.088745175
"BBS2",-0.460292139
"BBX",0.083979531
"BCAR1",0.133595981
"BCAR3",1.301479634
"BCAS2",0.269292892
"BCAS3",-0.051250375
"BCAT1",0.625716205
"BCDIN3",-0.38588446
"BCKDHB",-0.086227448
"BCL10",0.39797671
"BCL11A",0.03073177
"BCL11B",3.29919557
"BCL2",0.20248795
"BCL2L11",-0.068312403
"BCL3",-0.323510819
"BCL6",-0.881071004
"BCL6B",-0.124671661
"BCL7A",-0.508497455
"BCL9",0.01406413
"BCL9L",-0.151161585
"BCLAF1",0.907885009
"BCOR",-0.133470248
"BCORL1",0.080107136
"BCR",-2.16250295
"BDH1",1.410712696
"BDKRB1",-6.090149423
"BDKRB2",-1.202840343
"BDP1",0.297683854
"BEST4",0.184362453
"BFSP1",-2.228581083
"BHLHB2",-2.386838971
"BHLHB3",-0.460904184
"BHLHB4",-1.160182366
"BHLHB5",0.119882092
