"Gene","RORA"
"BANK1",-0.115301127
"BAP1",-1.226424818
"BAPX1",-0.002684843
"BARD1",0.25377363
"BARHL1",-0.142524491
"BARHL2",-0.364287741
"BARX1",-0.060887696
"BARX2",-0.543560295
"BASP1",0.070291866
"BAT1",-1.370629879
"BATF",-0.331374668
"BATF2",0.12845429
"BAZ1A",-1.033635383
"BAZ1B",-1.076368717
"BAZ2A",-0.299586902
"BAZ2B",0.048071623
"BBOX1",1.717074788
"BBS10",-0.146883797
"BBS2",0.226352417
"BBX",-0.17298862
"BCAR1",0.475263337
"BCAR3",1.070152752
"BCAS2",0.379870097
"BCAS3",-0.022435896
"BCAT1",1.419367566
"BCDIN3",0.653649443
"BCKDHB",-0.36752774
"BCL10",0.372854059
"BCL11A",-0.248764028
"BCL11B",3.818567741
"BCL2",0.252743258
"BCL2L11",0.098097478
"BCL3",-0.107627899
"BCL6",-0.661901397
"BCL6B",0.129173226
"BCL7A",-0.473380909
"BCL9",-0.096510241
"BCL9L",-0.468838397
"BCLAF1",0.77612653
"BCOR",-0.164321875
"BCORL1",0.163394941
"BCR",-1.25035941
"BDH1",-1.059858558
"BDKRB1",1.841585903
"BDKRB2",-1.136919501
"BDP1",0.113784442
"BEST4",-0.053396569
"BFSP1",0.321645996
"BHLHB2",-2.442955184
"BHLHB3",-0.537755411
"BHLHB4",-1.096983528
"BHLHB5",0.001154592
"BHLHB8",-0.417766004
"BICC1",-0.255949934
"BID",-1.621619405
"BIN1",-0.211879932
"BIRC2",3.429689501
"BIRC3",0.051368719
"BIRC5",-0.051390866
"BLM",0.762204087
"BLMH",-1.427969966
"BLNK",0.120487901
"BLOC1S2",-0.132526589
"BLZF1",-1.600565998
"BMI1",1.164880124
"BMP10",0.085218772
"BMP15",-0.255658305
"BMP2",0.123296375
"BMP2K",-0.012522689
"BMP3",0.346254623
"BMP4",-0.346097044
"BMP5",-0.781818965
"BMP6",0.061223156
"BMP7",-0.742835574
"BMPER",0.256302436
"BMPR1A",-0.310561541
"BNC1",0.849498353
"BNC2",-0.16931004
"BNIPL",-0.066456571
"BPHL",-0.575464401
"BPIL1",0.388255264
"BPTF",-0.396375996
"BRAF",0.161906409
"BRCA1",-0.000261876
"BRCA2",0.130844088
"BRD3",0.249275212
"BRD7",0.098088498
"BRD8",-0.422210506
"BRDT",0.000750934
"BRF1",0.251622233
"BRF2",0.002278912
"BRI3",0.061300227
"BRI3BP",-0.13008251
"BRIP1",-0.233708088
"BRMS1L",-0.544927687
"BRPF1",0.040923172
"BRPF3",-0.10159315
"BRUNOL4",-0.27073183
"BRWD1",-0.342548461
"BRWD3",0.293031638
"BTAF1",-0.519647364
"BTBD11",0.237725975
"BTBD14A",3.786994856
"BTBD14B",-0.341268884
"BTBD16",-0.048508753
"BTBD2",-0.19679127
"BTBD3",-0.889546427
"BTBD7",-0.104892748
"BTD",-0.013843846
"BTF3",0.018461392
"BTG1",3.798719721
"BTG2",-0.253662728
"BTN2A3",0.091679727
"BTN3A1",-0.200239202
"BTN3A2",1.028273167
"BTN3A3",-0.067871231
"BUB1B",2.468615323
"BUD13",-0.250291879
"BUD31",0.151903534
"BXDC5",-0.232580444
"BZRAP1",-0.136834176
"BZW1",0.176959795
"C10orf10",-0.105062178
"C10orf104",0.067053942
"C10orf47",-0.103829758
"C10orf58",-0.628752722
"C10orf61",-0.44377902
"C10orf83",0.019803608
"C10orf88",-0.159732224
"C10orf89",-0.252276905
