"Gene","CBX4_Over"
"AK000085",1.5641
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",1.6486
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",-1.6214
"AK021554",0
"AK021570",-1.5211
"AK021595",0
"AK021606",-1.5859
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",2.0665
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",-1.4917
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",-1.6103
"AK022268",-1.5638
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",-1.6187
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",-2.3177
"AK023048",1.5436
"AK023086",0
"AK023391",2.9712
"AK023400",0
"AK023412",0
"AK023472",1.8879
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",-1.5263
"AK023660",1.5951
"AK023737",-1.5812
"AK023756",0
"AK023774",1.5991
"AK023831",0
"AK023892",0
"AK023954",2.1174
"AK024147",0
"AK024243",-1.4789
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",1.7938
"AK024900",0
"AK024926",2.2463
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",-1.6585
"AK026020",0
"AK026418",-1.5809
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",1.594
"AK027173",-1.5293
"AK027209",0
"AK027315",-2.1971
"AK027541",1.5949
"AK027667",0
"AK054718",-1.6552
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",-1.7238
"AK057576",0
"AK057652",2.7004
"AK074144",-1.9435
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",2.915
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",1.8179
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",-1.7726
"AK093416",-1.6639
"AK093532",0
"AK093987",0
"AK094154",2.044
"AK094175",0
"AK094334",0
"AK094447",-2.011
"AK094623",0
"AK095167",-1.4907
"AK095300",0
"AK095583",1.4964
"AK095707",1.4942
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",-1.7558
"AK097085",0
"AK097197",1.5451
"AK097322",0
"AK097472",2.7193
"AK098081",-1.6532
"AK098134",0
"AK098220",0
"AK098427",-1.7499
"AK098478",0
"AK098511",0
"AK098597",2.5134
"AK1",0
"AK123483",-2.4771
"AK123627",0
"AK123765",-1.7151
"AK123861",0
"AK124166",0
"AK124173",-1.7063
"AK124263",1.6846
"AK124281",0
"AK124352",0
"AK124426",1.7237
"AK124470",0
"AK124841",-2.0235
"AK124941",0
"AK125129",0
"AK126329",1.7688
"AK128103",-2.2427
"AK128396",1.612
"AK128559",1.9032
"AK128814",1.4955
"AK129547",0
"AK129956",-1.604
"AK130099",-1.4981
"AK130644",-1.7548
"AK130891",0
"AK2",0
"AK2",0
"AK3",0
"AK304575",0
"AK3L1",-1.5522
"AK4",0
"AK5",0
"AK5",0
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",0
"AKAP13",0
"AKAP13",0
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-1.6188
"AKAP8",0
"AKAP8L",1.972
"AKAP9",0
"AKAP9",0
"AKD1",1.5547
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",1.6192
"AK0.0",0
"AK0.0D1",0
"AKR1A1",0
"AKR1B1",0
"AKR1B10",-3.8711
"AKR1B15",0
"AKR1C1",-1.5535
"AKR1C1",-1.5535
"AKR1C1",-1.5535
"AKR1C2",0
"AKR1C3",-1.5979
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",2.1221
"AKT2",0
"AKT3",0
"AKT3",0
"AKTIP",1.5289
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",-1.773
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",1.4935
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",1.7556
"ALAD",0
"ALAS1",1.5412
"ALAS2",0
"ALB",0
"ALCAM",1.6512
"ALDH1",0
"ALDH12",0
