"Gene","STAT3"
"BCL6",-0.229122532
"BCL6B",0.095805979
"BCL7A",-0.460829523
"BCL9",0.126546996
"BCL9L",-0.399938468
"BCLAF1",0.611551814
"BCOR",0.032840672
"BCORL1",0.057775273
"BCR",-0.772966991
"BDH1",-0.072444112
"BDKRB1",1.14551756
"BDKRB2",-0.137484296
"BDP1",0.18735729
"BEST4",0.095107307
"BFSP1",2.246731654
"BHLHB2",-3.874173484
"BHLHB3",-0.629297514
"BHLHB4",-1.017774594
"BHLHB5",-0.032144869
"BHLHB8",0.232728038
"BICC1",0.056729361
"BID",-0.911690068
"BIN1",-0.022851941
"BIRC2",2.314695321
"BIRC3",-0.136100816
"BIRC5",-0.212520093
"BLM",-0.41422539
"BLMH",2.457223427
"BLNK",0.030056641
"BLOC1S2",-0.014626731
"BLZF1",-1.712889017
"BMI1",0.924696359
"BMP10",0.217164924
"BMP15",-0.286832108
"BMP2",-0.013376681
"BMP2K",-0.191263911
"BMP3",0.333056059
"BMP4",0.151371914
"BMP5",-0.813019433
"BMP6",0.179911382
"BMP7",-0.521124293
"BMPER",0.318686076
"BMPR1A",-0.397438086
"BNC1",1.101788412
"BNC2",0.035217272
"BNIPL",-0.331838829
"BPHL",-1.030202687
"BPIL1",0.223264139
"BPTF",-0.497276867
"BRAF",0.041293345
"BRCA1",1.357051952
"BRCA2",0.223754107
"BRD3",0.09152001
"BRD7",-0.086123655
"BRD8",-0.641656995
"BRDT",-0.032665121
"BRF1",0.112635914
"BRF2",-0.113797462
"BRI3",-0.004929992
"BRI3BP",0.119142144
"BRIP1",-0.085386267
"BRMS1L",-0.790332611
"BRPF1",-0.022084861
"BRPF3",-0.04344503
"BRUNOL4",-0.346851356
"BRWD1",-0.167423793
"BRWD3",0.231703782
"BTAF1",-0.367995857
"BTBD11",0.00456009
"BTBD14A",2.464536179
"BTBD14B",-0.333008491
"BTBD16",0.177513174
"BTBD2",-0.16216229
"BTBD3",-0.573135401
"BTBD7",-0.295056343
"BTD",0.153471051
"BTF3",0.007956894
"BTG1",1.81176235
"BTG2",0.887632172
"BTN2A3",0.064295289
"BTN3A1",0.054860264
"BTN3A2",0.427384442
"BTN3A3",-0.143659519
"BUB1B",0.317530189
"BUD13",-0.455194238
"BUD31",0.104762836
"BXDC5",-0.097070343
"BZRAP1",-0.088611809
"BZW1",0.084609358
"C10orf10",-0.106871492
"C10orf104",-0.106277554
"C10orf47",-0.231447617
"C10orf58",-0.152355213
"C10orf61",-0.297825533
"C10orf83",-0.014482317
"C10orf88",-0.206123514
"C10orf89",-0.29301424
"C11orf1",-0.034687436
"C11orf10",-0.239072743
"C11orf2",-0.233351078
"C11orf36",-0.020542904
"C11orf41",-0.258957401
"C11orf45",0.193760476
"C11orf52",0.134802255
"C11orf54",-0.374715373
"C11orf58",0.216347285
"C11orf61",-0.299567045
"C11orf63",-0.098518164
"C11orf67",-1.130769821
"C11orf68",0.8542032
"C11orf69",-0.101772083
"C11orf71",0.005820882
"C11orf75",0.748126646
"C11orf77",0.077666232
"C12orf11",0.691462157
"C12orf22",-0.192282414
"C12orf23",0.504338819
"C12orf35",0.010405867
"C12orf46",-1.664726829
"C12orf54",-0.54617129
"C12orf57",-0.452714409
"C12orf60",0.044402791
"C13orf1",0.201569614
"C13orf27",-0.267955519
"C14orf102",-0.084421018
"C14orf103",-0.108901009
"C14orf104",2.019555897
"C14orf111",-0.292792116
"C14orf112",-0.009793657
"C14orf118",-0.08769935
"C14orf128",-0.649095491
"C14orf135",-0.367273301
"C14orf145",0.058098673
"C14orf159",1.197880419
"C14orf169",-0.034341672
"C14orf179",0.104736389
"C14orf32",0.252630457
"C14orf4",0.022389337
"C14orf43",-0.86441528
"C14orf46",0.002845982
"C14orf65",-0.170675498
"C14orf80",0.53543879
"C14orf93",0.817834406
"C15orf23",-0.301303534
"C15orf29",-0.107545802
"C15orf38",0.356602045
"C15orf39",0.501147748
"C15orf42",-0.478045624
"C15orf51",-0.033985379
"C16orf30",-0.573496565
"C16orf58",0.067853693
"C16orf61",-0.055584653
"C16orf63",-0.11278672
"C16orf69",0.031542462
"C16orf71",0.039121503
"C17orf27",-0.21697978
"C17orf32",-0.461665291
"C17orf39",0.437457589
"C17orf41",0.188935295
"C17orf71",-0.196315104
"C17orf74",-0.106696719
"C17orf75",-0.625846244
"C18orf10",-0.199289735
"C18orf25",-0.010279767
"C18orf4",-0.207570031
"C18orf45",-0.117002235
"C19orf2",1.653940825
"C19orf39",-0.084320974
"C19orf40",0.337336874
"C19orf46",0.067378128
"C1D",0.070556228
"C1orf103",-0.193447407
"C1orf107",-0.345537555
"C1orf112",-1.130542026
"C1orf116",-0.117818564
"C1orf121",-0.148662373
"C1orf126",0.167107346
"C1orf135",0.521885697
"C1orf149",0.423203219
"C1orf152",-0.199840359
"C1orf159",0.083240757
"C1orf160",0.346877443
"C1orf166",-0.75867451
"C1orf177",0.050394343
"C1orf183",1.362940338
"C1orf188",-0.214195499
"C1orf25",0.093030156
"C1orf31",0.144082156
"C1orf34",0.116731111
"C1orf51",-1.203551971
"C1orf53",-0.045376357
"C1orf55",-0.344709904
"C1orf63",-0.291921705
"C1orf69",0.255798495
"C1orf75",-0.432341498
"C1orf9",0.043620113
"C1QBP",0.099208985
"C1QTNF4",-0.018037444
"C20orf10",-0.204056756
"C20orf100",0.582460277
"C20orf102",0.177174081
"C20orf108",0.283962328
"C20orf11",-0.065697105
"C20orf141",0.044238017
"C20orf151",-0.124762513
"C20orf160",-0.093798427
"C20orf177",-0.170191717
"C20orf191",0.086563857
"C20orf199",-0.24831591
"C20orf26",0.341225146
"C20orf29",0.618425396
"C20orf4",-3.874000129
"C20orf42",0.146472618
"C20orf58",-0.689439535
"C20orf82",-0.246102588
"C20orf94",0.204931254
"C21orf122",0.251263491
"C21orf25",-0.012274282
"C21orf45",-1.161334993
"C21orf6",-0.411125637
