"Gene","MAFB1"
"ADRA1D",0
"ADRA2B",-0.0049
"ADRA2C",0
"ADRB1",-0.0048
"ADRB2",0
"ADRB3",-0.0791
"ADRBK1",0
"ADRM1",0
"ADRM1",0
"ADSL",-0.1316
"ADSS",0
"ADSSL1",0
"ADTRP",0
"AEBP1",0
"AEBP1",0
"AEBP2",0
"AEBP2",0
"AEGL1",0.0285
"AEN",0
"AES",-0.0822
"AES",-0.0822
"AF009267",0
"AF010144",0
"AF011757",-0.0147
"AF026246",0
"AF037219",0
"AF038169",-0.0304
"AF053356-CDS2",-0.0255
"AF053356_CDS3",-0.0234
"AF060862",-0.0318
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",-0.0107
"AF10",0.029
"AF10CALM",3e-04
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0.0889
"AF143879",0
"AF144054",0
"AF15Q14",0.0596
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0.009
"AF318321",0
"AF351612",0
"AF3P21",0.0363
"AF531436",0
"AF5Q31",0.0086
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",0
"AFDN",0
"AFF1",0
"AFF1",0
"AFF1",0
"AFF2",0
"AFF3",0
"AFF4",0
"AFF4",0
"AFG3L2",0
"AFM",0.0119
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0.0043
"AGER",0
"AGFG1",0
"AGFG2",0
"AGGF1",0
"AGGF1",0
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.059
"AGPAT3",-0.059
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",0
"AGPAT6",0
"AGPAT9",0
"AGPS",0
"AGR2",0
"AGR3",0
"AGRIN",0
"AGRIN",0
"AGRN",0
"AGRP",-0.0153
"AGS1",-0.0028
"AGT",0
"AGTPBP1",0
"AGTR1",0
"AGTR1B",-0.0382
"AGTR2",0.0275
"AGTRAP",0
"AGTRL2",-0.0856
"AGXT",0.0245
"AGXT2",0.0473
"AGXT2L1",0.2006
"AGXT2L2",0
"AHCTF1",0
"AHCTF1",0
"AHCY",0
"AHCY",0
"AHCYL1",0
"AHCYL2",0
"AHDC1",0
"AHDC1",0
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",0
"AHRR",0
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",-0.0439
"AIDA",0
"aie-75",0.0364
"AIF1",-0.0089
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",0
"AIG1",0
"aik2",-0.081
"aik3",-0.0037
"AIM1",0.0279
"AIM1L",0
"AIM2",-0.001
"AIMP1",0
"AIMP2",0
"AIP",0
"AIP",0
"AIP-1",-0.0235
"AIPC",0.2287
"AIPL1",-0.0895
"AIRE",-0.0167
"AIRE",-0.0167
"airm",-0.019
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
