"Gene","FDXR"
"AGAP11",0.2734
"AGAP2",0
"AGAP3",11.9684
"AGAP4",0
"AGAP5",0.0934
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0.2432
"AGBL3",0
"AGBL4",0
"AGBL5",0.4302
"AGC1",0
"AGER",0.0209
"AGFG1",0.6854
"AGFG2",5.3071
"AGGF1",4.2547
"AGGF1",4.2547
"AGK",1.2606
"AGL",1.7178
"AGMAT",0.3419
"AGMO",0
"AGO1",0.7531
"AGO2",3.3082
"AGO3",9e-04
"AGO4",2.9629
"AGPAT1",3.6892
"AGPAT2",0.0027
"AGPAT3",15.0445
"AGPAT3",15.0445
"AGPAT4",0.2528
"AGPAT4-IT1",0
"AGPAT5",1.4682
"AGPAT6",0
"AGPAT6",0
"AGPAT9",0
"AGPS",1.5648
"AGR2",0.5233
"AGR3",0
"AGRIN",0
"AGRIN",0
"AGRN",66.5409
"AGRP",0
"AGS1",0
"AGT",0
"AGTPBP1",0.4062
"AGTR1",0
"AGTR1B",0
"AGTR2",0
"AGTRAP",7.3574
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0
"AHCTF1",0
"AHCTF1",0
"AHCY",59.0566
"AHCY",59.0566
"AHCYL1",11.7571
"AHCYL2",3.3342
"AHDC1",15.2902
"AHDC1",15.2902
"AHI1",0.1507
"AH0.0K",125.0312
"AH0.0K2",49.2387
"AHR",14.9786
"AHRR",0.1182
"AHSA1",8.4447
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0.1742
"aie-75",0
"AIF1",0
"AIF1L",2.7809
"AIFM1",1.0967
"AIFM2",0.8614
"AIFM3",0
"AIG1",0
"aik2",0
"aik3",0
"AIM1",0
"AIM1L",0
"AIM2",0.1584
"AIMP1",9.8832
"AIMP2",10.6984
"AIP",23.6703
"AIP",23.6703
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0
"AIRE",0
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",5.0491
"AJUBA",115.8064
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",8.4715
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",5.8878
"AK2",5.8878
"AK3",7.7138
"AK304575",0
"AK3L1",0
"AK4",6.521
"AK5",0.0645
"AK5",0.0645
"AK6",2.3558
"AK7",3.8376
"AK8",0.1062
"AK9",0.0801
"AKAIN1",0
"AKAP1",11.9144
"AKAP10",3.6832
"AKAP11",8.0484
"AKAP12",2e-04
"AKAP13",1.2623
"AKAP13",1.2623
"AKAP14",0
"AKAP17A",0
"AKAP2",3.8985
"AKAP3",1.037
"AKAP4",0
"AKAP5",0
"AKAP6",0.0401
"AKAP7",0.0986
"AKAP8",3.0354
"AKAP8L",6.7889
"AKAP9",8.5825
"AKAP9",8.5825
"AKD1",0
"AKIP1",9e-04
"AKIRIN1",0.0053
"AKIRIN2",22.6856
"AK0.0",0.0329
"AK0.0D1",0
"AKR1A1",14.0278
"AKR1B1",9.5132
"AKR1B10",5.1593
"AKR1B15",0.2851
"AKR1C1",6.6691
"AKR1C1",6.6691
"AKR1C1",6.6691
"AKR1C2",0.6442
"AKR1C3",0.4316
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",18.4571
"AKR7A3",0.1959
"AKT1",10.5478
"AKT1S1",33.3748
"AKT2",5.1083
"AKT3",0.0983
"AKT3",0.0983
"AKTIP",2.2583
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",4.5426
"ALAS1",12.631
"ALAS2",0
"ALB",0
"ALCAM",0.0629
"ALDH1",0
"ALDH12",0
"ALDH16A1",2.8292
"ALDH18A1",5.9733
"ALDH1A1",0.1574
"ALDH1A2",0
"ALDH1A3",14.1843
"ALDH1A3",14.1843
"ALDH1B1",0
"ALDH1B1",0
"ALDH1L1",5e-04
"ALDH1L2",2.1694
"ALDH2",5.6723
"ALDH3A1",20.9432
"ALDH3A2",24.4733
"ALDH3B1",0.0018
"ALDH3B2",63.0509
"ALDH4A1",9.5948
"ALDH4A1",9.5948
"ALDH5",0
"ALDH5A1",1.5023
"ALDH6A1",0.026
"ALDH7A1",0
"ALDH8A1",0
"ALDH9A1",3.2659
"ALDOA",714.285
"ALDOAP2",0
"ALDOB",0
"ALDOC",32.519
"ALEX3",0
"ALG1",1.9699
"ALG10",0.2071
"ALG10B",0
"ALG11",1.1615
"ALG12",2.7008
"ALG13",0
"ALG14",1.1933
"ALG1L",0
"ALG1L2",0
"ALG2",10.3242
"ALG3",6e-04
"ALG5",2.2018
"ALG6",0
"ALG8",1.9336
"ALG9",17.3046
"ALG9",17.3046
"ALK",0.0664
"ALKBH1",2.6673
"ALKBH2",2.2224
"ALKBH3",7.0368
"ALKBH4",12.5205
"ALKBH5",29.1152
"ALKBH6",1.5855
"ALKBH7",13.4071
"ALKBH8",0.33
"ALMS1",0
"ALMS1",0
"ALOX12",12.4978
"ALOX12B",6.3727
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0.0766
"ALOX15B",1.6172
"ALOX5",0
"ALOX5AP",0
"ALOX5AP",0
"ALOXE3",1.9789
"alpha-CP1",0
"ALPI",0
"ALPK1",0.6927
"ALPK2",0
"ALPK3",0.0939
"ALPL",0
"ALPP",0.0758
"ALPPL2",0
"ALR",0
"ALS2",0.9202
"ALS2CL",13.5679
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0
"ALS2CR13",0
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0
"ALS2CR8",0
"ALX1",0
"ALX3",5.6412
"ALX4",0
"ALYREF",45.0694
"AMAC1L2",0
"AMACR",10.1622
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",17.1523
"AMDHD1",0.2164
"AMDHD2",11.9231
"AMELX",0
"AMELY",0
"AMER1",0.562
"AMER2",0
"AMER3",0
"AMFR",16.5941
"AMH",0
"AMHR2",0
"AMIGO1",0.1586
"AMIGO2",1.9009
"AMIGO3",0.2916
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",1.9242
"AMMECR1L",6.7302
"AMN",5.1561
"AMN1",0.3381
"AMOT",0.2694
"AMOT",0.2694
"AMOTL1",13.7197
"AMOTL2",0
"AMPD1",0.0455
"AMPD2",0
"AMPD3",3.1077
"AMPD3",3.1077
"AMPH",0
"AMPK gamma2",0
"AMT",0
"AMT",0
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0.4743
"AMZ1",0
"AMZ2",13.2156
"A0.0PC1",0.2138
"A0.0PC10",1.6543
"A0.0PC11",118.9373
"A0.0PC13",13.0092
"A0.0PC15",40.9453
"A0.0PC16",16.0877
"A0.0PC2",1.2879
"A0.0PC4",2.365
"A0.0PC5",6.4231
"A0.0PC5",6.4231
"A0.0PC7",2.3233
"A0.0PC7",2.3233
"ANG",3.3252
"ANG-3",0
"ANGEL1",5.332
"ANGEL2",0.9192
"ANGPT1",0
"ANGPT2",0.0011
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",7.2778
"ANGPTL5",0
"ANGPTL6",0.3694
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0
"ANK3",0
"ANKAR",6e-04
"ANKDD1A",1e-04
"ANKEF1",3.7682
"ANKFN1",0.2727
"ANKFY1",3.236
"ANKH",2.1331
"ANKH",2.1331
"ANKHD1",2.5462
"ANKHD1",2.5462
"ANKHD1",2.5462
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",7.5858
"ANKK1",0.259
"ANKLE1",0
"ANKLE2",14.1852
"ANKMY1",0.0414
"ANKMY2",0.8569
"ANKRA2",7.693
"ANKRD1",0.2285
"ANKRD10",1.3906
"ANKRD10",1.3906
"ANKRD11",13.5291
"ANKRD12",5.1929
"ANKRD12",5.1929
"ANKRD13A",2.4739
"ANKRD13A",2.4739
"ANKRD13B",3.9337
"ANKRD13C",5.944
"ANKRD13D",11.2315
"ANKRD15",0
"ANKRD15",0
"ANKRD16",6.7703
"ANKRD17",5.3673
"ANKRD17",5.3673
"ANKRD18A",0.1172
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0.0023
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",5.8458
"ANKRD23",0
"ANKRD24",0.0033
"ANKRD26",0.1696
"ANKRD27",8.881
"ANKRD28",0.7744
"ANKRD28",0.7744
"ANKRD29",0.002
"ANKRD3",0
"ANKRD30A",0
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",2.3466
"ANKRD34A",0.63
"ANKRD34B",0
"ANKRD35",10.7624
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",3.9906
"ANKRD39",2.0594
"ANKRD40",11.1733
"ANKRD42",1.2284
"ANKRD43",0
"ANKRD43",0
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0
"ANKRD47",0
"ANKRD49",1.427
"ANKRD50",4.2205
"ANKRD52",4.5616
"ANKRD53",0
"ANKRD54",1.0462
"ANKRD55",0
"ANKRD57",0
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0.176
"ANKRD9",27.3913
"ANKS1A",5.5138
"ANKS1B",0
"ANKS3",1.1245
"ANKS4B",0.0747
"ANKS6",1.4051
"ANKTM1",0
"ANKUB1",0.0015
"ANKZF1",3.101
"ANLN",3.3444
"ANO1",0.3567
"ANO10",6.6375
"ANO2",0
"ANO3",0
"ANO4",0.3601
"ANO5",0
"ANO6",12.2742
"ANO7",0.1541
"ANO8",9.0284
"ANO9",5.1542
"ANOS1",0.033
"ANOS2P",0
"ANP32A",39.5682
"ANP32B",247.999
"ANP32C",4.1005
"ANP32D",0
"ANP32E",0
