"Gene","GABP1"
"AKIRIN2",0
"AK0.0",-0.1746
"AK0.0D1",0
"AKR1A1",0.35
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",-0.2459
"AKR1C1",0.8623
"AKR1C1",0.6064
"AKR1C2",0
"AKR1C3",-0.276
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",-0.2521
"AKT3",0.1898
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.3993
"ALDH1A3",-0.4989
"ALDH1B1",-1.0732
"ALDH1B1",-0.7446
"ALDH1L1",0
"ALDH1L2",0.2079
"ALDH2",0
"ALDH3A1",-0.0904
"ALDH3A2",-0.8953
"ALDH3B1",0
"ALDH3B2",-0.0582
"ALDH4A1",-0.5813
"ALDH4A1",-0.8918
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",-0.0413
"ALDH7A1",-0.2931
"ALDH8A1",0
"ALDH9A1",-0.5449
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",-1.384
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-0.0369
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-0.9447
"ALG9",-1.2649
"ALK",0.0686
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.2973
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",1.3896
"ALMS1",-0.2862
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",1.8512
"ALOX5",0
"ALOX5AP",-0.0972
"ALOX5AP",-0.2218
"ALOXE3",-0.2375
"alpha-CP1",0
"ALPI",0.5338
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.0256
"ALS2CR13",-0.3771
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.1769
"ALS2CR8",0.0521
"ALX1",0
"ALX3",-0.448
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.1259
"AMACR",-0.566
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.4676
"AMHR2",0
"AMIGO1",0
"AMIGO2",-0.5026
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-1.117
"AMOT",-0.0581
"AMOTL1",0
"AMOTL2",-0.0815
"AMPD1",0
"AMPD2",0
"AMPD3",3.417
"AMPD3",1.7222
"AMPH",0
"AMPK gamma2",0
"AMT",-0.1857
"AMT",-0.0118
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.5326
"AMZ2",0
"A0.0PC1",-0.4717
"A0.0PC10",0
"A0.0PC11",-0.232
"A0.0PC13",-0.6124
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.2026
"A0.0PC5",-2.823
"A0.0PC7",-0.7945
"A0.0PC7",-1.1272
"ANG",0.6106
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-4.4946
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",-0.4623
"ANK3",-3e-04
"ANKAR",0
"ANKDD1A",0.0482
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.3298
"ANKH",0.0712
"ANKHD1",-0.9997
"ANKHD1",-6.4446
"ANKHD1",-1.8195
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.1076
"ANKRA2",0
"ANKRD1",0.0354
"ANKRD10",-0.2247
"ANKRD10",0.2036
"ANKRD11",0
"ANKRD12",-0.1758
"ANKRD12",0.0835
"ANKRD13A",-0.3897
"ANKRD13A",0.5465
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.1327
"ANKRD15",-0.9725
"ANKRD16",0
"ANKRD17",0.2291
"ANKRD17",-0.684
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.3931
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.3403
"ANKRD28",0.2456
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.0568
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.4025
"ANKRD42",0
"ANKRD43",-0.3335
"ANKRD43",0.2261
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.5451
"ANKRD47",-0.1987
"ANKRD49",-0.2241
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-2.1793
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
