"Gene","PBX1"
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",0.11
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0.6727
"ADNP",0.1601
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.3202
"ADORA2A",-0.3229
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.3646
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.0323
"ADRB2",-0.1362
"ADRB3",0
"ADRBK1",-0.5534
"ADRM1",0.6862
"ADRM1",0.3401
"ADSL",0
"ADSS",0
"ADSSL1",0.1546
"ADTRP",0
"AEBP1",1.1
"AEBP1",0.161
"AEBP2",-0.1993
"AEBP2",-0.6349
"AEGL1",0
"AEN",0
"AES",-0.9896
"AES",-0.1107
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.0982
"AFDN",0
"AFF1",-0.0113
"AFF1",0.1803
"AFF1",-0.0619
"AFF2",0
"AFF3",-0.2011
"AFF4",-0.1108
"AFF4",0.7914
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.5297
"AGFG1",0
"AGFG2",0
"AGGF1",0.2371
"AGGF1",0.0157
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.1819
"AGPAT3",1.2319
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-1.837
"AGPAT6",-0.9248
"AGPAT9",0
"AGPS",0
"AGR2",-1.71
"AGR3",0
"AGRIN",-3.5101
"AGRIN",1.2796
"AGRN",0
"AGRP",-0.1031
"AGS1",0
"AGT",0.1179
"AGTPBP1",0
"AGTR1",0.0322
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.572
"AHCTF1",-0.426
"AHCTF1",-2.2976
"AHCY",-0.0618
"AHCY",-1.1228
"AHCYL1",-0.0324
"AHCYL2",0
"AHDC1",-0.4727
"AHDC1",-0.0165
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.649
"AHRR",0.1118
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.2876
"AIG1",-0.1142
"aik2",0
"aik3",0
"AIM1",0.9501
"AIM1L",0.1902
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.1209
"AIP",-0.0594
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.059
"AIRE",-0.0429
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",2.1223
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
