"Gene","MPZL3"
"AGTRAP",0.0137
"AGTRL2",0
"AGXT",0.4457
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0
"AHCTF1",0
"AHCTF1",0
"AHCY",18.1271
"AHCY",18.1271
"AHCYL1",2.1122
"AHCYL2",1.4553
"AHDC1",24.8401
"AHDC1",24.8401
"AHI1",6.849
"AH0.0K",41.457
"AH0.0K2",4.0539
"AHR",9.8511
"AHRR",1.0944
"AHSA1",28.1998
"AHSP",5.4156
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0.001
"AIDA",0
"aie-75",0
"AIF1",0.0052
"AIF1L",5e-04
"AIFM1",4.5562
"AIFM2",5.8938
"AIFM3",0
"AIG1",0
"aik2",0
"aik3",0
"AIM1",0
"AIM1L",0
"AIM2",0.915
"AIMP1",28.3828
"AIMP2",11.5713
"AIP",55.9856
"AIP",55.9856
"AIP-1",0
"AIPC",0
"AIPL1",0.0712
"AIRE",0
"AIRE",0
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",1.6353
"AJUBA",4.0806
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",36.0193
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",15.5538
"AK2",15.5538
"AK3",0.0015
"AK304575",0
"AK3L1",0
"AK4",3.1568
"AK5",0.7636
"AK5",0.7636
"AK6",0
"AK7",3.0103
"AK8",3.2018
"AK9",0.6372
"AKAIN1",0
"AKAP1",32.8868
"AKAP10",2.6965
"AKAP11",1.2062
"AKAP12",1e-04
"AKAP13",8.4854
"AKAP13",8.4854
"AKAP14",0
"AKAP17A",0
"AKAP2",19.157
"AKAP3",0.3765
"AKAP4",0
"AKAP5",0.4333
"AKAP6",0.2078
"AKAP7",0.6957
"AKAP8",5.1064
"AKAP8L",2.7555
"AKAP9",13.9348
"AKAP9",13.9348
"AKD1",0
"AKIP1",0
"AKIRIN1",5e-04
"AKIRIN2",24.8103
"AK0.0",1.23
"AK0.0D1",0.874
"AKR1A1",14.1649
"AKR1B1",2.7462
"AKR1B10",0.1683
"AKR1B15",0.1648
"AKR1C1",15.747
"AKR1C1",15.747
"AKR1C1",15.747
"AKR1C2",10.1274
"AKR1C3",5.7204
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",47.8327
"AKR7A3",1.1292
"AKT1",4.6555
"AKT1S1",44.7545
"AKT2",0.4498
"AKT3",2.5433
"AKT3",2.5433
"AKTIP",0.0172
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",6.7057
"ALAS1",12.3314
"ALAS2",4e-04
"ALB",0
"ALCAM",0.0166
"ALDH1",0
"ALDH12",0
"ALDH16A1",17.9519
"ALDH18A1",4.2009
"ALDH1A1",5.0783
"ALDH1A2",0
"ALDH1A3",3.37
"ALDH1A3",3.37
"ALDH1B1",0
"ALDH1B1",0
"ALDH1L1",0
"ALDH1L2",0
"ALDH2",0
"ALDH3A1",43.5733
"ALDH3A2",105.317
"ALDH3B1",1.6217
"ALDH3B2",0.2169
"ALDH4A1",5.6888
"ALDH4A1",5.6888
"ALDH5",0
"ALDH5A1",4.311
"ALDH6A1",0.0074
"ALDH7A1",0
"ALDH8A1",0
"ALDH9A1",9.6045
"ALDOA",395.116
"ALDOAP2",0
"ALDOB",0.1054
"ALDOC",67.8301
"ALEX3",0
"ALG1",0.198
"ALG10",0
"ALG10B",0
"ALG11",0.5012
"ALG12",13.2868
"ALG13",2.8916
"ALG14",2.7449
"ALG1L",0
"ALG1L2",0
"ALG2",0.1827
"ALG3",0
"ALG5",2.6487
"ALG6",0
"ALG8",4.4786
"ALG9",2.4756
"ALG9",2.4756
"ALK",0.3438
"ALKBH1",0.9841
"ALKBH2",2.4282
"ALKBH3",14.4128
"ALKBH4",6.7951
"ALKBH5",43.0341
"ALKBH6",5.8479
"ALKBH7",88.7354
"ALKBH8",1.4252
"ALMS1",0.4106
"ALMS1",0.4106
"ALOX12",3.9987
"ALOX12B",81.5523
"ALOX12E",0
"ALOX12P2",0
"ALOX15",1e-04
"ALOX15B",4.3903
"ALOX5",4e-04
"ALOX5AP",5.0017
"ALOX5AP",5.0017
"ALOXE3",40.8466
"alpha-CP1",0
"ALPI",0.399
"ALPK1",1.5868
"ALPK2",2.2952
"ALPK3",0.5526
"ALPL",0
"ALPP",0.088
"ALPPL2",0.307
"ALR",0
"ALS2",1.6259
"ALS2CL",4.2597
"ALS2CR11",1e-04
"ALS2CR12",0
"ALS2CR13",0
"ALS2CR13",0
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0
"ALS2CR8",0
"ALX1",0.6452
"ALX3",0.7354
"ALX4",1.2471
"ALYREF",5.7685
"AMAC1L2",0
"AMACR",6e-04
"AMBN",0.1303
"AMBP",2.2869
"AMBRA1",0
"AMD1",0.98
"AMDHD1",0.1254
"AMDHD2",14.7825
"AMELX",0
"AMELY",0
"AMER1",1.5646
"AMER2",0
"AMER3",0.4916
"AMFR",2.0819
"AMH",0
"AMHR2",0
"AMIGO1",1.9638
"AMIGO2",0.7072
"AMIGO3",5.3333
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0.0022
"AMMECR1L",3.1661
"AMN",4.4769
"AMN1",5e-04
"AMOT",1.0662
"AMOT",1.0662
"AMOTL1",0.002
"AMOTL2",0
"AMPD1",0.0528
"AMPD2",0.3674
"AMPD3",0.2879
"AMPD3",0.2879
"AMPH",0.001
"AMPK gamma2",0
"AMT",1.9873
"AMT",1.9873
"AMTN",0.147
"AMY1A",0
"AMY2A",0
"AMY2B",0.8269
"AMZ1",0
"AMZ2",0.1933
"A0.0PC1",0.1556
"A0.0PC10",0
"A0.0PC11",184.294
"A0.0PC13",12.0358
"A0.0PC15",0
"A0.0PC16",2.7808
"A0.0PC2",0.8589
"A0.0PC4",0.6585
"A0.0PC5",2.7197
"A0.0PC5",2.7197
"A0.0PC7",28.4113
"A0.0PC7",28.4113
"ANG",24.5942
"ANG-3",0
"ANGEL1",2.4593
"ANGEL2",2.4517
"ANGPT1",0.9849
"ANGPT2",0.1452
"ANGPT4",5e-04
"ANGPTL1",23.2157
"ANGPTL2",32.979
"ANGPTL3",0
"ANGPTL4",12.4165
"ANGPTL5",2.5985
"ANGPTL6",0.1547
"ANGPTL7",13.366
"ANGPTL8",2.3939
"ANHX",0.3001
"ANK",0
"ANK1",0
"ANK2",0.6384
"ANK3",0.3399
"ANK3",0.3399
"ANKAR",0.2344
"ANKDD1A",0
"ANKEF1",1.1205
"ANKFN1",0.5272
"ANKFY1",1.2652
"ANKH",18.146
"ANKH",18.146
"ANKHD1",0
"ANKHD1",0
"ANKHD1",0
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",1.2761
"ANKK1",0.9016
"ANKLE1",0
"ANKLE2",3e-04
"ANKMY1",0.3261
"ANKMY2",3.2879
"ANKRA2",8.4599
"ANKRD1",0.3971
"ANKRD10",0
"ANKRD10",0
"ANKRD11",46.3129
"ANKRD12",10.7986
"ANKRD12",10.7986
"ANKRD13A",1.3147
"ANKRD13A",1.3147
"ANKRD13B",4.9758
"ANKRD13C",0.0026
"ANKRD13D",7.4323
"ANKRD15",0
"ANKRD15",0
"ANKRD16",15.049
"ANKRD17",0.6236
"ANKRD17",0.6236
"ANKRD18A",0.9507
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",2.6195
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",12.0961
"ANKRD23",8e-04
"ANKRD24",0.5518
"ANKRD26",0.278
"ANKRD27",3.117
"ANKRD28",0.8145
"ANKRD28",0.8145
"ANKRD29",1.9247
"ANKRD3",0
"ANKRD30A",0
"ANKRD30B",0
"ANKRD31",0.0402
"ANKRD33",0
"ANKRD33B",1.1554
"ANKRD34A",0.6189
"ANKRD34B",0.1747
"ANKRD35",41.0216
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",1.9173
"ANKRD39",10.1185
"ANKRD40",7.1517
"ANKRD42",1.1528
"ANKRD43",0
"ANKRD43",0
"ANKRD44",0.6173
"ANKRD46",0.7686
"ANKRD47",0
"ANKRD47",0
"ANKRD49",8.1259
"ANKRD50",0.1862
"ANKRD52",7.4448
"ANKRD53",1.047
"ANKRD54",0.441
"ANKRD55",0
"ANKRD57",0
"ANKRD6",0.3038
"ANKRD61",1.345
"ANKRD62",0.0517
"ANKRD63",0.4987
"ANKRD65",0
"ANKRD7",0
"ANKRD9",34.5332
"ANKS1A",8.2815
"ANKS1B",0
"ANKS3",1.6136
"ANKS4B",0.1734
"ANKS6",1.2913
"ANKTM1",0
"ANKUB1",0.217
"ANKZF1",63.3174
"ANLN",0.5174
"ANO1",0
"ANO10",0
"ANO2",0.1609
"ANO3",0.0058
"ANO4",0
"ANO5",0.0544
"ANO6",2.4531
"ANO7",0.3832
"ANO8",5.1894
"ANO9",82.824
"ANOS1",0.0384
"ANOS2P",0
"ANP32A",8.1831
"ANP32B",199.572
"ANP32C",1.4009
"ANP32D",0
"ANP32E",6.9823
"ANPEP",18.361
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",43.9993
"ANTXR2",1e-04
"ANTXR2",1e-04
"ANX14",0
"ANX3",0
"ANXA1",32.3922
"ANXA10",0
"ANXA11",108.208
"ANXA11",108.208
"ANXA13",2e-04
"ANXA2",2.7195
"ANXA2P1",0
"ANXA2P2",0
"ANXA2R",4.6309
"ANXA3",1.1596
"ANXA4",1.0102
"ANXA5",68.8136
"ANXA6",0.001
"ANXA7",0.0024
"ANXA8",0
"ANXA8L1",0
"ANXA9",19.0883
"AOAH",0.0013
"AOC1",4.195
"AOC2",0.0019
"AOC3",0
"AOF1",0
"AOF1",0
"AOF2",0
"AOX",0
"AOX1",3.6467
"AP-2B",0
"AP1AR",0.1988
"AP1G1",4e-04
"AP1G2",29.4552
"AP1GBP1",0
"AP1M1",1.5262
"AP1M2",26.3937
"AP1S1",24.2125
"AP1S2",1.4304
"AP1S3",0
"AP2A1",7e-04
"AP2A2",20.347
"AP2B1",0.0054
"AP2M1",154.267
"AP2S1",0
"AP3B1",12.2046
"AP3B2",0.3831
"AP3D1",1.4059
"AP3D1",1.4059
"AP3M1",1.4097
"AP3M2",4.4636
"AP3S1",0.8632
"AP3S2",3.2141
"AP4",0
"AP4B1",1.2691
"AP4E1",0.4037
"AP4M1",17.664
"AP4S1",3.5172
"AP5B1",9.4248
"AP5M1",2.3505
"AP5S1",7.4836
"AP5Z1",4.1695
"APAF1",0
"APBA1",1.7266
"APBA2",0.0146
"APBA2",0.0146
"APBA3",10.0805
"APBB1",0
"APBB1",0
"APBB1IP",2.4818
"APBB2",0.2371
"APBB3",13.9116
"APC",1.434
"APC10",0
"APC2",2.0414
"APCDD1",128.682
"APCDD1L",1.4915
"APCS",0
"APE",0
"APEH",34.4963
"APEX1",35.9012
"APEX2",3e-04
"apg-2",0
"APG5L",0
"APH1A",19.846
"APH1B",1.1889
"API5",1e-04
"APIP",0
"APITD1",0
"APLF",0.5939
"APLN",1.3191
"APLN",1.3191
"APLN",1.3191
"APLNR",18.8268
"APLP1",0.001
"APLP2",5.343
"APLP2",5.343
"APM1",0
"APMAP",14.1521
"APMCF1",0
