"Gene","SP3"
"ARSD",-0.804489851
"ARSI",-0.04355451
"ART1",0.603561647
"ARTS-1",0.111988509
"ARV1",-0.143082802
"ARX",0.424703713
"AS3MT",-0.168918099
"ASAHL",-1.172735329
"ASAM",0.127114278
"ASB1",1.373305193
"ASB13",0.037999777
"ASB16",-0.885676315
"ASB3",-0.126203222
"ASB8",-0.023319633
"ASCC1",-1.242386936
"ASCC2",-0.384831139
"ASCC3",0.352055796
"ASCL1",-0.462565577
"ASCL2",0.224437129
"ASCL3",0.078933291
"ASCL5",1.867344064
"ASF1A",0.532086352
"ASF1B",-0.994749042
"ASGR2",0.368252515
"ASH1L",0.611197729
"ASH2L",0.313844435
"ASL",-0.140033501
"ASNA1",-0.296407979
"ASNS",-0.196502283
"ASPHD2",0.081619615
"ASS1",-0.119533427
"ASXL1",0.12433222
"ASXL2",-1.963640459
"ATAD2",-0.198574128
"ATAD2B",-0.317556945
"ATAD3A",-0.493107046
"ATAD3B",2.662561863
"ATAD3C",-0.847354372
"ATBF1",0.116926575
"ATF2",0.404519572
"ATF3",-0.665484257
"ATF7",-0.078332427
"ATF7IP",0.019083076
"ATF7IP2",-0.061030424
"ATG16L1",-1.288142756
"ATG5",-0.409310114
"ATG7",0.212404945
"ATHL1",-1.161286325
"ATM",0.307082135
"ATN1",-0.9210761
"ATOH1",0.244668132
"ATOH7",0.315709571
"ATOH8",0.180194277
"ATOX1",0.319595031
"ATP10B",-0.532076755
"ATP10D",0.630646886
"ATP11A",-0.104402941
"ATP11C",-0.118015517
"ATP1A3",-0.329217341
"ATP1B1",-1.707257655
"ATP1B4",-0.286249914
"ATP2A2",0.54029022
"ATP2B4",-0.104106212
"ATP2C1",2.995968353
"ATP4A",-0.456372196
"ATP5A1",-0.002623203
"ATP5G2",-0.180096675
"ATP5H",-0.209417555
"ATP5I",-0.264972663
"ATP5J2",-0.077512142
"ATP5L",-2.201523159
"ATP6AP1",0.24651377
"ATP6V0C",-0.066443443
"ATP6V0E1",0.19297522
"ATP6V0E2",-0.174786399
"ATP6V1A",0.085741778
"ATP6V1B2",3.037182168
"ATP6V1C2",-0.321803122
"ATP6V1G1",0.38604496
"ATP6V1H",-1.190367379
"ATP7B",-1.297663427
"ATP8B1",-0.135173798
"ATPIF1",-0.11069245
"ATRNL1",0.019453663
"ATRX",0.043203327
"ATXN1",-0.520549436
"ATXN3",1.592051653
"ATXN3L",0.027614003
"ATXN7",0.363996105
"ATXN7L1",-0.014444985
"ATXN7L3",-0.116724142
"ATXN7L4",-0.01268731
"AURKA",-0.210150892
"AVIL",-0.033333464
"AVPR1A",-0.0736814
"AXUD1",0.061228163
"AZGP1",-0.61541249
"AZIN1",1.758866457
"B3GALNT1",0.011003778
"B3GALT4",-0.446870388
"B3GAT2",-0.021637533
"B3GAT3",0.061793421
"B3GNT2",-1.170651144
"B3GNT5",0.192813112
"B3GNT6",0.298814029
"B4GALNT2",0.062312703
"B4GALT2",0.306262203
"B4GALT4",-1.55857758
"B4GALT5",-0.485197082
"B4GALT6",0.037454548
"BACH1",2.296331859
"BACH2",0.017225284
"BAG3",-0.330007975
"BAHD1",0.257472559
"BAMBI",1.695209924
"BANK1",-0.124030365
"BAP1",1.415466371
"BAPX1",-0.050065063
"BARD1",-0.878855741
"BARHL1",0.933077147
"BARHL2",-0.336786183
"BARX1",-0.114082174
"BARX2",-0.305164079
"BASP1",-0.004447861
"BAT1",-0.968281888
"BATF",-0.189298382
"BATF2",0.007146555
"BAZ1A",-1.082249604
"BAZ1B",0.355854541
"BAZ2A",-0.482807591
"BAZ2B",0.036365428
"BBOX1",-0.072817753
"BBS10",-0.16517575
"BBS2",-0.544935829
"BBX",0.040656437
"BCAR1",-1.057150913
"BCAR3",0.132714797
"BCAS2",0.190493966
"BCAS3",-0.268735675
"BCAT1",0.277200875
"BCDIN3",1.243979867
"BCKDHB",-0.620932106
"BCL10",1.393392745
"BCL11A",-0.004087628
"BCL11B",3.354886506
"BCL2",0.415027515
"BCL2L11",0.143397392
"BCL3",-0.091804922
"BCL6",-0.289577684
"BCL6B",0.269013558
"BCL7A",-0.473607914
"BCL9",0.172201273
"BCL9L",-0.152161812
"BCLAF1",0.073952055
"BCOR",0.065396935
"BCORL1",0.046090871
"BCR",-1.8479205
"BDH1",-0.36302934
"BDKRB1",3.835165677
"BDKRB2",-1.277141833
"BDP1",0.222133001
"BEST4",0.066946874
"BFSP1",-0.039454107
"BHLHB2",-4.504744502
"BHLHB3",-0.559358699
"BHLHB4",-0.955496299
"BHLHB5",0.000464726
"BHLHB8",0.192807574
"BICC1",0.151712723
"BID",-1.705364412
"BIN1",0.719566369
"BIRC2",3.047983137
"BIRC3",-0.659993374
"BIRC5",-0.253045328
"BLM",1.218895711
"BLMH",3.461357693
"BLNK",-0.293637222
"BLOC1S2",0.010495426
"BLZF1",-1.551624434
"BMI1",-2.558455207
"BMP10",0.159280307
"BMP15",-0.152367643
"BMP2",0.050872072
"BMP2K",-0.348702079
"BMP3",0.453061349
"BMP4",0.058094696
"BMP5",-0.825732055
"BMP6",-0.306838428
"BMP7",-0.840285899
"BMPER",0.24932181
"BMPR1A",-0.454211861
"BNC1",0.700635763
"BNC2",0.110948023
"BNIPL",-0.629632602
"BPHL",-1.326545173
"BPIL1",0.063408704
"BPTF",0.094366021
"BRAF",-0.168339795
"BRCA1",-3.745287279
"BRCA2",0.351056604
"BRD3",0.545177881
"BRD7",-0.132808492
"BRD8",-0.612633364
"BRDT",-0.053400213
"BRF1",0.109630559
"BRF2",-0.11424965
"BRI3",0.003973011
"BRI3BP",1.142071339
"BRIP1",-0.027671742
"BRMS1L",-0.569893717
"BRPF1",0.239324742
"BRPF3",-0.067953749
"BRUNOL4",-0.25964749
"BRWD1",-0.208853037
"BRWD3",0.501241228
"BTAF1",-0.359400259
"BTBD11",0.063387509
"BTBD14A",3.466985187
"BTBD14B",-0.320266527
"BTBD16",-0.520354358
"BTBD2",-0.292214156
"BTBD3",-0.725189793
"BTBD7",-0.09875237
"BTD",-0.051481721
"BTF3",0.000955543
"BTG1",-0.844677117
"BTG2",0.27836852
"BTN2A3",-0.023668123
"BTN3A1",0.196532326
"BTN3A2",1.212933316
"BTN3A3",0.124455701
"BUB1B",-0.289298605
"BUD13",-0.64294746
"BUD31",0.080866156
"BXDC5",-0.064354159
"BZRAP1",0.017755129
"BZW1",0.094098534
"C10orf10",-0.151438169
"C10orf104",-0.064932978
"C10orf47",-0.161325618
"C10orf58",-0.452283843
"C10orf61",-0.172573969
"C10orf83",-0.001163486
"C10orf88",-0.242088248
"C10orf89",-0.150425177
"C11orf1",-0.063738901
"C11orf10",-0.237647903
"C11orf2",-0.112028542
"C11orf36",-0.067139487
"C11orf41",0.025304998
"C11orf45",0.272367705
"C11orf52",-0.286035128
"C11orf54",-0.612631246
"C11orf58",0.269386432
"C11orf61",-0.27053588
"C11orf63",-0.12195773
"C11orf67",-0.047186838
"C11orf68",0.28919215
"C11orf69",-0.032415829
"C11orf71",-0.173367442
"C11orf75",0.679423894
"C11orf77",-0.185884328
"C12orf11",0.249771994
"C12orf22",-0.253836098
"C12orf23",0.42528128
"C12orf35",0.236079287
"C12orf46",-2.126689192
"C12orf54",0.321011681
"C12orf57",-0.508424577
"C12orf60",0.289332376
"C13orf1",0.054154944
"C13orf27",-0.384675923
"C14orf102",0.152775903
"C14orf103",-0.073013947
"C14orf104",-5.845539779
"C14orf111",0.119665297
"C14orf112",-0.059480697
"C14orf118",0.162139135
"C14orf128",-0.662676698
"C14orf135",-0.309533247
"C14orf145",0.085947028
"C14orf159",0.984306257
"C14orf169",0.514957475
"C14orf179",-0.149009022
"C14orf32",0.200702715
"C14orf4",1.292075187
"C14orf43",-0.688319585
"C14orf46",0.152305736
"C14orf65",-0.073811932
"C14orf80",1.058316729
"C14orf93",1.648554705
"C15orf23",-0.297737076
"C15orf29",-0.357428269
"C15orf38",0.261188341
"C15orf39",0.843661237
"C15orf42",0.800306471
"C15orf51",0.168218971
"C16orf30",-1.199285716
"C16orf58",0.040794219
"C16orf61",-0.254589486
"C16orf63",-0.077597533
"C16orf69",-0.320666123
"C16orf71",0.037948209
"C17orf27",-0.029634177
"C17orf32",-0.293689697
"C17orf39",0.308851309
"C17orf41",0.317647029
"C17orf71",-0.075100697
"C17orf74",0.37296152
"C17orf75",-0.640241773
"C18orf10",-0.057702707
"C18orf25",-0.107166624
"C18orf4",-0.032159583
"C18orf45",-0.032611456
"C19orf2",2.092734647
"C19orf39",-0.487922606
"C19orf40",0.220832846
"C19orf46",-2.147337383
"C1D",-0.044291207
"C1orf103",-0.429083612
"C1orf107",-0.682799192
"C1orf112",-1.472883429
"C1orf116",0.483028234
"C1orf121",-0.273149169
"C1orf126",0.001606004
"C1orf135",0.304413502
"C1orf149",0.961454666
"C1orf152",-0.249951662
"C1orf159",0.078732484
"C1orf160",0.337029457
"C1orf166",-0.670423314
"C1orf177",0.111921308
"C1orf183",2.239540993
"C1orf188",-0.166035947
"C1orf25",0.096115771
"C1orf31",-0.098198945
"C1orf34",-0.614247909
"C1orf51",-0.808585219
"C1orf53",-0.50559049
"C1orf55",-0.062514218
"C1orf63",-0.425426973
"C1orf69",0.286173385
"C1orf75",-0.536635033
"C1orf9",1.052902553
"C1QBP",0.011536185
"C1QTNF4",-0.056173555
"C20orf10",-0.328701262
"C20orf100",0.616616206
"C20orf102",0.145473827
"C20orf108",-1.460425979
"C20orf11",0.298660496
"C20orf141",0.061330214
"C20orf151",-0.257749571
"C20orf160",-0.116212554
"C20orf177",0.157799308
"C20orf191",-0.063274742
"C20orf199",-0.275803543
"C20orf26",0.345255823
"C20orf29",0.256173408
"C20orf4",-4.536206204
"C20orf42",-0.03007187
"C20orf58",-0.494583224
"C20orf82",-0.385624288
"C20orf94",0.849295197
"C21orf122",0.079555154
"C21orf25",0.041557591
"C21orf45",-1.655555556
"C21orf6",-0.342025526
"C22orf32",-0.124253106
"C2orf13",-0.075296407
"C2orf34",-0.25893692
"C2orf4",-5.805632654
"C3",-1.963451606
"C3orf1",-0.101947727
"C3orf26",-0.44286517
"C3orf28",-0.185861575
"C3orf57",-0.357546215
"C3orf58",-0.134458515
"C3orf59",-0.46326501
"C3orf63",-0.105395381
"C4B",-0.369816512
"C4orf14",-0.254625517
"C4orf26",-0.66881463
"C4orf28",0.089682028
"C4orf29",-0.218477518
"C4orf30",0.442020716
"C4orf31",0.092165544
"C4orf34",-0.717504627
"C4orf9",-0.125648336
"C5orf13",0.087758662
"C5orf30",-1.436017316
"C5orf4",-0.020274624
"C6orf105",-0.163173739
"C6orf125",-0.237793394
"C6orf128",-0.587376013
"C6orf150",-0.059775538
"C6orf166",-0.080762377
"C6orf167",0.252599935
"C6orf35",0.034408284
"C6orf48",-0.031275269
"C6orf52",0.295196014
"C6orf61",-0.26513484
"C6orf62",3.815003372
"C6orf85",-1.589693375
"C7orf11",-0.047990152
"C7orf23",-0.00345003
"C7orf25",-0.247119574
"C7orf27",-0.606689372
"C7orf28B",0.068489327
"C7orf44",0.333654026
"C7orf47",-0.344568339
"C8orf13",0.736337028
"C8orf32",-1.061352498
"C8orf33",-0.079252194
"C8orf44",-0.089030672
"C8orf55",0.250928144
"C8orf70",1.501291274
"C8orf72",-0.54481991
"C9orf100",0.262501273
"C9orf114",0.430346161
"C9orf126",-0.013290112
"C9orf139",-0.062257156
"C9orf150",1.964572904
"C9orf156",0.093175362
"C9orf19",1.163836668
"C9orf3",-1.163422422
"C9orf30",-1.326599223
"C9orf40",0.249409434
"C9orf5",-0.187772598
"C9orf64",-0.109194636
"C9orf72",-0.291238746
"C9orf78",0.076643898
"C9orf91",0.155460609
"C9orf94",-0.073452011
"CA10",0.494566294
"CA11",-0.018414184
"CA12",0.4040039
"CA2",0.202890856
"CA4",0.383987303
"CA5B",-0.091189239
"CA6",-0.075287678
"CA7",-0.508531379
"CAB39",2.127810045
"CABC1",0.46113624
"CABIN1",1.296845906
"CABLES2",0.255304671
"CABP7",0.402709387
"CACHD1",0.113440093
"CACNA1C",-0.055823487
"CACNA2D2",-0.01863021
"CACNA2D3",-0.252188883
"CACNG4",0.280561489
"CACNG7",-0.16232046
"CACNG8",0.503149264
"CACYBP",-0.100580745
"CAD",-1.142492983
"CALB2",-0.133485925
"CALCA",-0.543290868
"CALCOCO1",0.038858095
"CALCOCO2",3.049826596
"CALD1",1.761483633
"CALM2",0.08101008
"CALML4",-0.383682803
"CALR",-0.078033484
"CAMK2A",-0.119452169
"CAMK2B",0.103171218
"CAMK2D",-1.34528108
"CAMK2N1",1.412808284
"CAMKK2",-4.728539326
"CAMKV",-0.080552044
"CAMSAP1",-0.202328323
"CAMTA1",0.039886484
"CAMTA2",-0.068835208
"CAND1",0.208504822
"CAND2",0.450915831
"CANX",-0.036350958
"CAP1",0.605507482
"CAP2",0.13775755
"CAPN12",-0.486860299
"CAPN2",-0.143813241
"CAPN5",-0.310147044
"CAPNS2",0.00042122
"CARD10",-0.39259642
"CARD11",-0.093347705
"CARHSP1",-0.1256815
"CARKL",-0.964107637
"CARS",-0.301698641
"CART1",0.046660409
"CASC5",1.093544412
"CASK",-0.264632691
"CASP1",-0.590615435
"CASP4",-0.023820672
"CASP6",0.75800892
"CASP8",0.169418332
"CASP8AP2",0.129599403
"CASP9",-0.682743359
"CASZ1",-0.01863365
"CAT",3.522798958
"CAV2",0.764023581
"CBFA2T2",0.000621348
"CBFA2T3",0.004840018
"CBFB",-0.090983145
"CBLB",-0.077964995
"CBLC",-1.307960278
"CBLN2",0.288269312
"CBR1",-0.40829939
"CBR4",0.191312248
"CBS",-0.152486326
"CBX3",-0.016646913
"CBX4",-0.559826465
"CBX5",0.983385715
"CBX6",-0.280951834
"CBX7",-0.168443002
"CBX8",-0.026606198
"CC2D1A",-5.087044116
"CC2D1B",0.255021082
"CCAR1",-0.041702747
"CCBL1",0.866847482
"CCDC100",-0.069010643
"CCDC101",0.24114747
"CCDC106",0.23580825
"CCDC113",-0.807991745
"CCDC120",0.14217038
"CCDC126",-0.507230373
"CCDC131",0.336266711
"CCDC15",0.061736659
"CCDC21",0.425277404
"CCDC25",0.310220157
"CCDC28B",-0.889883593
"CCDC3",0.731675722
"CCDC59",-0.066614954
"CCDC6",-0.064735996
"CCDC68",-0.216279554
"CCDC74B",0.112381957
"CCDC79",-0.224319754
"CCDC8",2.220167214
"CCDC84",0.378980664
"CCDC85B",-0.794663129
"CCDC86",-0.580727629
"CCDC93",-0.579649174
"CCDC94",0.326159804
"CCDC98",-0.152915567
"CCDC99",-0.987448627
"CCHCR1",0.656978728
"CCL20",-0.352775906
"CCL3L3",-0.36533831
"CCL5",-0.032720194
"CCNA2",-0.96491879
"CCNB1IP1",-0.270975502
"CCNB2",-0.406751697
"CCNC",1.523300568
"CCND1",1.081274704
"CCND2",-0.413534534
"CCND3",0.217310755
"CCNE1",0.338397539
"CCNE2",-0.156057677
"CCNF",0.291853141
"CCNG1",0.282257225
"CCNG2",2.009367159
"CCNH",-0.161133598
"CCNJ",-0.329055286
"CCNK",-0.116926938
"CCNL1",-0.752534034
"CCNL2",0.263827353
"CCNT2",-0.29566111
"CCPG1",-0.329779351
"CCR1",-0.574190715
"CCR10",-0.316706764
"CCR4",0.487103707
"CCR5",0.139954045
"CCRL1",0.251022247
"CCRN4L",0.201863141
"CCT2",-0.035470888
"CD14",0.450213805
"CD163L1",0.209115347
"CD164",0.37996903
"CD1A",-0.117391556
"CD2",-0.401873419
"CD248",0.429317615
"CD27",0.452562325
"CD274",0.057829021
"CD33L3",0.673577192
"CD44",-0.162432515
"CD53",0.373436734
"CD55",-2.159756361
"CD59",0.075975376
"CD6",-0.211885383
"CD63",-0.05896183
"CD69",-0.052673622
"CD70",-0.021319958
"CD74",-0.214148219
"CD80",0.314145433
"CD82",-0.397769736
"CD86",5.207491323
"CD99",0.046340847
"CD99L2",-0.089479226
"CDADC1",0.096389153
"CDC16",-0.050280444
"CDC23",-1.794290105
"CDC25A",0.45813297
"CDC2L1",-0.471409594
"CDC2L2",0.144260509
"CDC34",-0.622350756
"CDC37",-0.182994594
"CDC42BPG",-0.173279164
"CDC42EP1",0.444506036
"CDC42EP2",0.084401242
"CDC42EP3",-0.950822979
"CDC42EP5",-0.384672802
"CDC42SE1",-0.877747995
"CDC45L",-0.669568383
"CDC5L",0.060681828
"CDC6",-0.777536989
"CDC7",2.185372593
"CDCA2",0.195555966
"CDCA3",-0.710344524
"CDCA4",-0.577545133
"CDCA5",-0.487782783
"CDCA7",0.021111465
"CDCA7L",-2.006289289
"CDCA8",-0.286265064
"CDCP1",-0.067196552
"CDH1",0.247816703
"CDH11",0.406375262
"CDH13",-3.167890282
"CDH15",0.000563843
"CDH22",0.079410443
"CDK2",-0.350741206
"CDK2AP1",0.235473904
"CDK2AP2",0.855214969
"CDK5R1",-0.283126511
"CDK5R2",-0.678079186
"CDK5RAP1",0.471233025
"CDK5RAP3",-0.284079281
"CDK7",0.003069947
"CDK8",-0.312360682
"CDK9",-0.157684924
"CDKN1B",-0.411609713
"CDKN1C",0.940600532
"CDKN2A",-0.412731458
"CDKN2B",-2.155658074
"CDRT1",-0.031666869
"CDRT15",0.267809702
"CDSN",-0.008499634
"CDV3",-2.454904686
"CDX1",0.422647285
"CDX2",0.201358901
"CDX4",-0.039604564
"CDYL",-1.013512973
"CDYL2",0.106055658
"CEACAM19",0.121062252
"CEACAM4",-0.375514102
"CEBPA",-0.509366941
"CEBPB",-0.692652546
"CEBPD",-0.100807357
"CEBPE",-0.307635077
"CEBPG",-0.209724663
"CEBPZ",-0.216521482
"CELSR2",0.085098966
"CEND1",-0.406334203
"CENPA",-0.081554304
"CENPB",0.469585134
"CENPE",-0.65744413
"CENPF",-0.384528166
"CENPI",-0.081938495
"CENPJ",-3.595001966
"CENPK",-0.384440417
"CENPN",-0.533803345
"CENPO",0.188597315
"CENPQ",0.226503587
"CENPT",-0.357774957
"CENTA1",-0.264189099
"CENTA2",0.314202246
"CENTB5",-0.388905878
"CEP152",0.022617586
"CEP250",0.982853291
"CEP55",-0.365693132
"CEP68",-0.028450403
"CEP72",0.369186876
"CERK",0.13384301
"CES2",0.015158359
"CFDP1",0.618651455
"CFHR2",-0.066483528
"CFL1",0.162628729
"CFL2",-0.789857906
"CFLAR",-0.098471121
"CFTR",0.002438366
"CG018",0.033173236
"CGGBP1",-0.316981341
"CGN",-0.574445648
"CHAC1",-0.16282516
"CHAF1A",-1.489178894
"CHAF1B",-1.358165151
"CHCHD8",-0.248767473
"CHD1",-0.36907597
"CHD2",-0.051990064
"CHD3",0.133723042
"CHD4",-0.076708293
"CHD5",0.395699378
"CHD6",0.257517122
"CHD7",0.859690305
"CHD8",0.069549532
"CHD9",0.488264607
"CHEK1",-0.630650847
"CHERP",-0.22932304
"CHES1",-0.03774124
"CHI3L2",0.191103717
"CHIC2",-0.543021979
"CHML",-0.947761353
"CHMP1B",-3.603572479
"CHMP2A",0.079131229
"CHMP2B",0.182659944
"CHMP5",0.184167852
"CHODL",-0.222505448
"CHORDC1",2.659551924
"CHRD",-0.101489355
"CHRM1",-0.164783131
"CHRNA1",0.144367172
"CHRNA3",-0.250862085
"CHRNA4",-0.150023576
"CHRNA5",-0.629683768
"CHRNB2",-0.088041258
"CHRNB4",0.333490004
