"Gene","SOX6"
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",1.2118
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",5.6405
"ANK3",-1.3478
"ANKAR",0
"ANKDD1A",-0.1292
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.0014
"ANKH",-0.0531
"ANKHD1",-0.2483
"ANKHD1",-4.1873
"ANKHD1",-1.4005
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.0741
"ANKRA2",0
"ANKRD1",0.0624
"ANKRD10",0.0593
"ANKRD10",0.0071
"ANKRD11",0
"ANKRD12",0.3574
"ANKRD12",0.2846
"ANKRD13A",0.0811
"ANKRD13A",-0.0345
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.1674
"ANKRD15",1.0871
"ANKRD16",0
"ANKRD17",-0.2999
"ANKRD17",0.1418
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",3.4386
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.0127
"ANKRD28",0.352
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",-0.0317
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",0.0688
"ANKRD42",0
"ANKRD43",0.0525
"ANKRD43",0.1521
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.7428
"ANKRD47",0.0895
"ANKRD49",0.0367
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0.6155
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",-3.8425
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",1.0391
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.1574
"ANTXR2",-1.0207
"ANX14",0
"ANX3",0
"ANXA1",-0.0022
"ANXA10",0
"ANXA11",0.048
"ANXA11",0.3802
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.1743
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.314
"ANXA4",0.2522
"ANXA5",-0.0174
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0066
"ANXA8L1",0
"ANXA9",-0.7889
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.195
"AOF1",0.006
"AOF2",-1.0976
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.1323
"AP1M1",0.3059
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.0872
"AP3B1",0
"AP3B2",0
"AP3D1",-0.3639
"AP3D1",1.8684
"AP3M1",0
"AP3M2",-0.1638
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",0.0411
"AP4E1",0
"AP4M1",0.4207
"AP4S1",-0.0072
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.3131
"APBA2",-0.1601
"APBA3",0
"APBB1",0.6696
"APBB1",-0.9881
"APBB1IP",0
"APBB2",1.7249
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",0.5474
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.1871
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",-0.2251
"APLN",0.9467
"APLN",1.1992
"APLNR",0
"APLP1",0
"APLP2",-2.2273
"APLP2",-0.2747
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",-0.0154
"APOA2",0
"APOA4",-0.0797
"APOA4",0.1961
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",-0.2723
"APOBEC3A_B",0
"APOBEC3B",-0.2089
"APOBEC3C",1.0781
"APOBEC3D",0
"APOBEC3F",0.7838
"APOBEC3G",0.3616
"APOBEC3H",0
"APOBEC4",0
"APOC1",0.152
"APOC1",0.2128
"APOC3",-0.2115
"APOC4",0.5879
"APOD",0
"APOE",-1.9232
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.3874
"APOL6",0.353
"APOL6",2.3156
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",0.6428
"APPBP2",-0.1493
"APPBP2",-0.4171
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",0.2465
"AQP2",-0.4292
"AQP2",-0.4666
"AQP3",0.0441
"AQP3",-8e-04
"AQP4",0
"AQP5",0
"AQP6",0.7841
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.4327
"AQR",0
"AR",0.2625
"ARAF",0
