"","Gene","KLF","ZNF","ACTL","GRHL","MLL2","SNAI2_Over","SNAI2_Knockdown","DMNT1","CBX4_Over","CBX4_Knockdown","MAFB1","MPZL3","FDXR","TINCR"
"9891","FTH1P18",NA,NA,NA,-0.145119332167132,-0.214923357076659,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9892","FTH1P19",NA,NA,NA,-0.202249067213437,-0.00198861722781643,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9893","FTHL17",-0.040092265,0.121911506,-0.0501686428920653,-0.180543034590563,-0.0944656007914645,-0.57236022679026,-0.0166194119095141,0.0160474483534072,NA,NA,-0.0180113733048197,0.384284,0,-0.05216159712702
"9894","FTHP1",0.002999637,-0.007339433,0.000935603799971151,NA,NA,-0.560884264656448,0.519908090148191,-0.132571946597703,NA,NA,-0.0693097488437392,NA,NA,-0.0855683470873598
"9895","FTL",NA,NA,NA,NA,NA,NA,NA,NA,3.239132526,NA,NA,24.6102,748.594,NA
"9896","FTMT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04805,0,NA
"9897","FTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12253,6.398975,NA
"9898","FTSJ1",NA,NA,NA,-0.00228921522027311,0.175636897418955,NA,NA,NA,NA,NA,NA,4.949845,7.936915,NA
"9899","FTSJ2",NA,NA,NA,-0.145084184341737,0.232211746079551,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9900","FTSJ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1197,6.517835,NA
"9901","FUBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734185885,5.242754875,NA
"9902","FUBP3",NA,NA,NA,0.122890954157528,0.10763741070391,NA,NA,NA,NA,NA,NA,3.02123,6.79346,NA
"9903","FUCA1",NA,NA,NA,NA,NA,NA,NA,NA,1.5438821845,NA,NA,5.26626,1.021845,NA
"9904","FUCA2",NA,NA,NA,0.0138031985073697,-0.0646400258679615,NA,NA,NA,NA,NA,NA,7.60358,6.108245,NA
"9905","FUK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611625,0.46977045,NA
