"Gene","NOTCH3"
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.0421
"ANKH",0.1198
"ANKHD1",-0.2731
"ANKHD1",3.6303
"ANKHD1",-1.4718
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.21
"ANKRA2",0
"ANKRD1",0.4893
"ANKRD10",0.1796
"ANKRD10",-0.2718
"ANKRD11",0
"ANKRD12",-0.198
"ANKRD12",-0.0712
"ANKRD13A",-0.1266
"ANKRD13A",0.1666
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.2369
"ANKRD15",4.1856
"ANKRD16",0
"ANKRD17",0.6788
"ANKRD17",-0.3145
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",2.2736
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.1543
"ANKRD28",0.3991
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.0855
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.1406
"ANKRD42",0
"ANKRD43",-0.2899
"ANKRD43",0.2454
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.3809
"ANKRD47",-0.1453
"ANKRD49",0.3787
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-1.5328
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",2.8664
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",-0.1164
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.0023
"ANTXR2",-0.3948
"ANX14",0
"ANX3",0
"ANXA1",-0.0457
"ANXA10",0
"ANXA11",0.0124
"ANXA11",0.1442
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.0782
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.4097
"ANXA4",0.3402
"ANXA5",-0.0723
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0522
"ANXA8L1",0
"ANXA9",-0.8429
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.1389
"AOF1",-0.2946
"AOF2",-0.8103
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.1226
"AP1M1",-0.4242
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.0306
"AP3B1",0
"AP3B2",0
"AP3D1",-0.1347
"AP3D1",3.603
"AP3M1",0
"AP3M2",-0.2605
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.0722
"AP4E1",0
