"","x"
"591","aik2"
"592","aik3"
"593","AIM1"
"594","AIM1L"
"595","AIM2"
"596","AIMP1"
"597","AIMP2"
"598","AIP"
"599","AIP-1"
"600","AIPC"
"601","AIPL1"
"602","AIRE"
"603","airm"
"604","AJ227863"
"605","AJ293393"
"606","AJ307469"
"607","AJ312026"
"608","AJ312027"
"609","AJAP1"
"610","AJUBA"
"611","AK000085"
"612","AK000144"
"613","AK000420"
"614","AK000809"
"615","AK000925"
"616","AK000954"
"617","AK001089"
"618","AK001118"
"619","AK001120"
"620","AK001808"
"621","AK001846"
"622","AK021554"
"623","AK021570"
"624","AK021595"
"625","AK021606"
"626","AK021744"
"627","AK021804"
"628","AK021824"
"629","AK021842"
"630","AK021906"
"631","AK022004"
"632","AK022016"
"633","AK022020"
"634","AK022044"
"635","AK022062"
"636","AK022066"
"637","AK022083"
"638","AK022086"
"639","AK022109"
"640","AK022140"
"641","AK022150"
"642","AK022183"
"643","AK022204"
"644","AK022223"
"645","AK022268"
"646","AK022299"
"647","AK022337"
"648","AK022339"
"649","AK022346"
"650","AK022351"
"651","AK022364"
"652","AK022443"
"653","AK022479"
"654","AK023018"
"655","AK023048"
"656","AK023086"
"657","AK023391"
"658","AK023400"
"659","AK023412"
"660","AK023472"
"661","AK023526"
"662","AK023542"
"663","AK023572"
"664","AK023647"
"665","AK023660"
"666","AK023737"
"667","AK023756"
"668","AK023774"
"669","AK023831"
"670","AK023892"
"671","AK023954"
"672","AK024147"
"673","AK024243"
"674","AK024315"
"675","AK024382"
"676","AK024389"
"677","AK024470"
"678","AK024566"
"679","AK024898"
"680","AK024900"
"681","AK024926"
"682","AK024937"
"683","AK024956"
"684","AK025047"
"685","AK025082"
"686","AK025360"
"687","AK025669"
"688","AK025887"
"689","AK026020"
"690","AK026418"
"691","AK026477"
"692","AK026517"
"693","AK026896"
"694","AK026903"
"695","AK027091"
"696","AK027173"
"697","AK027209"
"698","AK027315"
"699","AK027541"
"700","AK027667"
"701","AK054718"
"702","AK054840"
"703","AK054895"
"704","AK055438"
"705","AK055501"
"706","AK055821"
"707","AK056630"
"708","AK056744"
"709","AK057088"
"710","AK057576"
"711","AK057652"
"712","AK074144"
"713","AK074181"
"714","AK074696"
"715","AK090397"
"716","AK090405"
"717","AK090407"
"718","AK090463"
"719","AK090477"
"720","AK090897"
"721","AK091057"
"722","AK091308"
"723","AK091744"
"724","AK092349"
"725","AK092379"
"726","AK092468"
"727","AK092668"
"728","AK092810"
"729","AK093416"
"730","AK093532"
"731","AK093987"
"732","AK094154"
"733","AK094175"
"734","AK094334"
"735","AK094447"
"736","AK094623"
"737","AK095167"
"738","AK095300"
"739","AK095583"
"740","AK095707"
"741","AK095791"
"742","AK096241"
"743","AK096250"
"744","AK096500"
"745","AK096674"
"746","AK096677"
"747","AK097085"
"748","AK097197"
"749","AK097322"
"750","AK097472"
"751","AK098081"
"752","AK098134"
"753","AK098220"
"754","AK098427"
"755","AK098478"
"756","AK098511"
"757","AK098597"
"758","AK1"
"759","AK123483"
"760","AK123627"
"761","AK123765"
"762","AK123861"
"763","AK124166"
"764","AK124173"
"765","AK124263"
"766","AK124281"
"767","AK124352"
"768","AK124426"
"769","AK124470"
"770","AK124841"
"771","AK124941"
"772","AK125129"
"773","AK126329"
"774","AK128103"
"775","AK128396"
"776","AK128559"
"777","AK128814"
"778","AK129547"
"779","AK129956"
"780","AK130099"
"781","AK130644"
"782","AK130891"
"783","AK2"
"784","AK3"
"785","AK304575"
"786","AK3L1"
"787","AK4"
"788","AK5"
"789","AK6"
"790","AK7"
"791","AK8"
"792","AK9"
"793","AKAIN1"
"794","AKAP1"
"795","AKAP10"
"796","AKAP11"
"797","AKAP12"
"798","AKAP13"
"799","AKAP14"
"800","AKAP17A"
"801","AKAP2"
"802","AKAP3"
"803","AKAP4"
"804","AKAP5"
"805","AKAP6"
"806","AKAP7"
"807","AKAP8"
"808","AKAP8L"
"809","AKAP9"
"810","AKD1"
"811","AKIP1"
"812","AKIRIN1"
"813","AKIRIN2"
"814","AKNA"
"815","AKNAD1"
"816","AKR1A1"
"817","AKR1B1"
"818","AKR1B10"
"819","AKR1B15"
"820","AKR1C1"
"821","AKR1C2"
"822","AKR1C3"
"823","AKR1C4"
"824","AKR1D1"
"825","AKR1E2"
"826","AKR7A2"
"827","AKR7A3"
"828","AKT1"
"829","AKT1S1"
"830","AKT2"
"831","AKT3"
"832","AKTIP"
"833","AL049390"
"834","AL050122"
"835","AL050185"
"836","AL079294"
"837","AL080082"
"838","AL080232"
"839","AL109784"
"840","AL134462"
"841","AL137318"
"842","AL137400"
"843","AL359650"
"844","AL390143"
"845","AL390214"
"846","AL832142"
"847","AL832146"
"848","AL832806"
"849","AL832820"
"850","AL833114"
"851","AL833452"
"852","AL833696"
"853","AL834280"
"854","ALAD"
"855","ALAS1"
"856","ALAS2"
"857","ALB"
"858","ALCAM"
"859","ALDH1"
"860","ALDH12"
"861","ALDH16A1"
"862","ALDH18A1"
"863","ALDH1A1"
"864","ALDH1A2"
"865","ALDH1A3"
"866","ALDH1B1"
"867","ALDH1L1"
"868","ALDH1L2"
"869","ALDH2"
"870","ALDH3A1"
"871","ALDH3A2"
"872","ALDH3B1"
"873","ALDH3B2"
"874","ALDH4A1"
"875","ALDH5"
"876","ALDH5A1"
"877","ALDH6A1"
"878","ALDH7A1"
"879","ALDH8A1"
"880","ALDH9A1"
"881","ALDOA"
"882","ALDOAP2"
"883","ALDOB"
"884","ALDOC"
"885","ALEX3"
"886","ALG1"
"887","ALG10"
"888","ALG10B"
"889","ALG11"
"890","ALG12"
"891","ALG13"
"892","ALG14"
"893","ALG1L"
"894","ALG1L2"
"895","ALG2"
"896","ALG3"
"897","ALG5"
"898","ALG6"
"899","ALG8"
"900","ALG9"
"901","ALK"
"902","ALKBH1"
"903","ALKBH2"
"904","ALKBH3"
"905","ALKBH4"
"906","ALKBH5"
"907","ALKBH6"
"908","ALKBH7"
"909","ALKBH8"
"910","ALMS1"
"911","ALOX12"
"912","ALOX12B"
"913","ALOX12E"
"914","ALOX12P2"
"915","ALOX15"
"916","ALOX15B"
"917","ALOX5"
"918","ALOX5AP"
"919","ALOXE3"
"920","alpha-CP1"
"921","ALPI"
"922","ALPK1"
"923","ALPK2"
"924","ALPK3"
"925","ALPL"
"926","ALPP"
"927","ALPPL2"
"928","ALR"
"929","ALS2"
"930","ALS2CL"
"931","ALS2CR11"
"932","ALS2CR12"
"933","ALS2CR13"
"934","ALS2CR2"
"935","ALS2CR4"
"936","ALS2CR8"
"937","ALX1"
"938","ALX3"
"939","ALX4"
"940","ALYREF"
"941","AMAC1L2"
"942","AMACR"
"943","AMBN"
"944","AMBP"
"945","AMBRA1"
"946","AMD1"
"947","AMDHD1"
"948","AMDHD2"
"949","AMELX"
"950","AMELY"
"951","AMER1"
"952","AMER2"
"953","AMER3"
"954","AMFR"
"955","AMH"
"956","AMHR2"
"957","AMIGO1"
"958","AMIGO2"
"959","AMIGO3"
"960","AML1"
"961","AML1 delta-N"
"962","AML1AMP19 fusion"
"963","AML1EAP"
"964","AMMECR1"
"965","AMMECR1L"
"966","AMN"
"967","AMN1"
"968","AMOT"
"969","AMOTL1"
"970","AMOTL2"
"971","AMPD1"
"972","AMPD2"
"973","AMPD3"
"974","AMPH"
"975","AMPK gamma2"
"976","AMT"
"977","AMTN"
"978","AMY1A"
"979","AMY2A"
"980","AMY2B"
"981","AMZ1"
"982","AMZ2"
"983","ANAPC1"
"984","ANAPC10"
"985","ANAPC11"
"986","ANAPC13"
"987","ANAPC15"
"988","ANAPC16"
"989","ANAPC2"
"990","ANAPC4"
"991","ANAPC5"
"992","ANAPC7"
"993","ANG"
"994","ANG-3"
"995","ANGEL1"
"996","ANGEL2"
"997","ANGPT1"
"998","ANGPT2"
"999","ANGPT4"
"1000","ANGPTL1"
"1001","ANGPTL2"
"1002","ANGPTL3"
"1003","ANGPTL4"
"1004","ANGPTL5"
"1005","ANGPTL6"
"1006","ANGPTL7"
"1007","ANGPTL8"
"1008","ANHX"
"1009","ANK"
"1010","ANK1"
"1011","ANK2"
"1012","ANK3"
"1013","ANKAR"
"1014","ANKDD1A"
"1015","ANKEF1"
"1016","ANKFN1"
"1017","ANKFY1"
"1018","ANKH"
"1019","ANKHD1"
"1020","ANKHD1-EIF4EBP3"
"1021","ANKHZN"
"1022","ANKIB1"
"1023","ANKK1"
"1024","ANKLE1"
"1025","ANKLE2"
"1026","ANKMY1"
"1027","ANKMY2"
"1028","ANKRA2"
"1029","ANKRD1"
"1030","ANKRD10"
"1031","ANKRD11"
"1032","ANKRD12"
"1033","ANKRD13A"
"1034","ANKRD13B"
"1035","ANKRD13C"
"1036","ANKRD13D"
"1037","ANKRD15"
"1038","ANKRD16"
"1039","ANKRD17"
"1040","ANKRD18A"
"1041","ANKRD18B"
"1042","ANKRD19"
"1043","ANKRD19P"
"1044","ANKRD2"
"1045","ANKRD20A1"
"1046","ANKRD20A2"
"1047","ANKRD20A3"
"1048","ANKRD20A4"
"1049","ANKRD20A8P"
"1050","ANKRD20A9P"
"1051","ANKRD22"
"1052","ANKRD23"
"1053","ANKRD24"
"1054","ANKRD26"
"1055","ANKRD27"
"1056","ANKRD28"
"1057","ANKRD29"
"1058","ANKRD3"
"1059","ANKRD30A"
"1060","ANKRD30B"
"1061","ANKRD31"
"1062","ANKRD33"
"1063","ANKRD33B"
"1064","ANKRD34A"
"1065","ANKRD34B"
"1066","ANKRD35"
"1067","ANKRD36"
"1068","ANKRD36B"
"1069","ANKRD37"
"1070","ANKRD39"
"1071","ANKRD40"
"1072","ANKRD42"
"1073","ANKRD43"
"1074","ANKRD44"
"1075","ANKRD46"
"1076","ANKRD47"
"1077","ANKRD49"
"1078","ANKRD50"
"1079","ANKRD52"
"1080","ANKRD53"
"1081","ANKRD54"
"1082","ANKRD55"
"1083","ANKRD57"
"1084","ANKRD6"
"1085","ANKRD61"
"1086","ANKRD62"
"1087","ANKRD63"
"1088","ANKRD65"
"1089","ANKRD7"
"1090","ANKRD9"
"1091","ANKS1A"
"1092","ANKS1B"
"1093","ANKS3"
"1094","ANKS4B"
"1095","ANKS6"
"1096","ANKTM1"
"1097","ANKUB1"
"1098","ANKZF1"
"1099","ANLN"
"1100","ANO1"
"1101","ANO10"
"1102","ANO2"
"1103","ANO3"
"1104","ANO4"
"1105","ANO5"
"1106","ANO6"
"1107","ANO7"
"1108","ANO8"
"1109","ANO9"
"1110","ANOS1"
"1111","ANOS2P"
"1112","ANP32A"
"1113","ANP32B"
"1114","ANP32C"
"1115","ANP32D"
"1116","ANP32E"
"1117","ANPEP"
"1118","anti-colorectal carcinoma heavy chain"
"1119","anti-colorectal carcinoma light chain"
"1120","ANTXR1"
"1121","ANTXR2"
"1122","ANX14"
"1123","ANX3"
"1124","ANXA1"
"1125","ANXA10"
"1126","ANXA11"
"1127","ANXA13"
"1128","ANXA2"
"1129","ANXA2P1"
"1130","ANXA2P2"
"1131","ANXA2R"
"1132","ANXA3"
"1133","ANXA4"
"1134","ANXA5"
"1135","ANXA6"
"1136","ANXA7"
"1137","ANXA8"
"1138","ANXA8L1"
"1139","ANXA9"
"1140","AOAH"
"1141","AOC1"
"1142","AOC2"
"1143","AOC3"
"1144","AOF1"
"1145","AOF2"
"1146","AOX"
"1147","AOX1"
"1148","AP-2B"
"1149","AP1AR"
"1150","AP1G1"
"1151","AP1G2"
"1152","AP1GBP1"
"1153","AP1M1"
"1154","AP1M2"
"1155","AP1S1"
"1156","AP1S2"
"1157","AP1S3"
"1158","AP2A1"
"1159","AP2A2"
"1160","AP2B1"
"1161","AP2M1"
"1162","AP2S1"
"1163","AP3B1"
"1164","AP3B2"
"1165","AP3D1"
"1166","AP3M1"
"1167","AP3M2"
"1168","AP3S1"
"1169","AP3S2"
"1170","AP4"
"1171","AP4B1"
"1172","AP4E1"
"1173","AP4M1"
"1174","AP4S1"
"1175","AP5B1"
"1176","AP5M1"
"1177","AP5S1"
"1178","AP5Z1"
"1179","APAF1"
"1180","APBA1"
"1181","APBA2"
"1182","APBA3"
"1183","APBB1"
"1184","APBB1IP"
"1185","APBB2"
"1186","APBB3"
"1187","APC"
"1188","APC10"
"1189","APC2"
"1190","APCDD1"
"1191","APCDD1L"
"1192","APCS"
"1193","APE"
"1194","APEH"
"1195","APEX1"
"1196","APEX2"
"1197","apg-2"
"1198","APG5L"
"1199","APH1A"
"1200","APH1B"
"1201","API5"
"1202","APIP"
"1203","APITD1"
"1204","APLF"
"1205","APLN"
"1206","APLNR"
"1207","APLP1"
"1208","APLP2"
"1209","APM1"
"1210","APMAP"
"1211","APMCF1"
"1212","APNH"
"1213","APOA1"
"1214","APOA1BP"
"1215","APOA2"
"1216","APOA4"
"1217","APOA5"
"1218","apoargC"
"1219","APOB"
"1220","APOB48R"
"1221","APOBEC1"
"1222","APOBEC2"
"1223","APOBEC3A"
"1224","APOBEC3A_B"
"1225","APOBEC3B"
"1226","APOBEC3C"
"1227","APOBEC3D"
"1228","APOBEC3F"
"1229","APOBEC3G"
"1230","APOBEC3H"
"1231","APOBEC4"
"1232","APOC1"
"1233","APOC3"
"1234","APOC4"
"1235","APOD"
"1236","APOE"
"1237","APOF"
"1238","APOH"
"1239","APOL1"
"1240","APOL2"
"1241","APOL3"
"1242","APOL4"
"1243","APOL5"
"1244","APOL6"
"1245","APOLD1"
"1246","APOLIV"
"1247","APOM"
