"Gene","PRDM1"
"ADD3",0.2543
"ADD3",1.0179
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",-0.3127
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0.6721
"ADNP",-0.0789
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.2521
"ADORA2A",-0.1857
"ADORA2B",0
"ADPGK",0
"ADPRH",0.0487
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.1611
"ADRB2",-0.3657
"ADRB3",0
"ADRBK1",-0.3513
"ADRM1",0.8624
"ADRM1",0.4538
"ADSL",0
"ADSS",0
"ADSSL1",0.2757
"ADTRP",0
"AEBP1",9e-04
"AEBP1",-0.4192
"AEBP2",-0.3024
"AEBP2",-0.168
"AEGL1",0
"AEN",0
"AES",-1.0503
"AES",0.1507
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.3389
"AFDN",0
"AFF1",0.1491
"AFF1",-0.1442
"AFF1",-0.0429
"AFF2",0
"AFF3",-0.091
"AFF4",-0.4507
"AFF4",-0.9535
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.0519
"AGFG1",0
"AGFG2",0
"AGGF1",0.6808
"AGGF1",1.2693
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",-0.4244
"AGPAT3",1.212
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-2.4008
"AGPAT6",-1.4418
"AGPAT9",0
"AGPS",0
"AGR2",-2.2397
"AGR3",0
"AGRIN",-1.6448
"AGRIN",-0.1092
"AGRN",0
"AGRP",0.0847
"AGS1",0
"AGT",0.2393
"AGTPBP1",0
"AGTR1",0.1664
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.511
"AHCTF1",0.2276
"AHCTF1",-0.6474
"AHCY",-0.2316
"AHCY",0.062
"AHCYL1",-0.0684
"AHCYL2",0
"AHDC1",0.273
"AHDC1",0.3887
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-1.9159
"AHRR",0.1762
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.1392
"AIG1",-0.4637
"aik2",0
"aik3",0
"AIM1",-0.5296
"AIM1L",0.754
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.3702
"AIP",-0.2037
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.5779
"AIRE",0.0998
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",2.4677
