"Gene","ATF5"
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.1187
"ALDH1A3",-0.1598
"ALDH1B1",-0.544
"ALDH1B1",-0.2874
"ALDH1L1",0
"ALDH1L2",0.1124
"ALDH2",0
"ALDH3A1",0.0418
"ALDH3A2",-0.2799
"ALDH3B1",0
"ALDH3B2",-0.367
"ALDH4A1",-0.1806
"ALDH4A1",0.775
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.2218
"ALDH7A1",-0.2226
"ALDH8A1",0
"ALDH9A1",-1.9497
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",-0.4549
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-1.1816
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",0.2207
"ALG9",-0.3575
"ALK",0.1405
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0.2157
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.4545
"ALMS1",0.0414
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",0.0397
"ALOX5",0
"ALOX5AP",-0.3979
"ALOX5AP",-0.1432
"ALOXE3",-0.1967
"alpha-CP1",0
"ALPI",-0.1019
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",-0.0957
"ALS2CR13",-0.6211
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.0864
"ALS2CR8",0.1184
"ALX1",0
"ALX3",-0.5493
"ALX4",0
"ALYREF",0
"AMAC1L2",-0.0026
"AMACR",-0.6518
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.4226
"AMHR2",0
"AMIGO1",0
"AMIGO2",0.0874
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-1.0818
"AMOT",0.0071
"AMOTL1",0
"AMOTL2",-0.1666
"AMPD1",0
"AMPD2",0
"AMPD3",1.0071
"AMPD3",0.4924
"AMPH",0
"AMPK gamma2",0
"AMT",-0.1401
"AMT",0.0122
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",-0.1141
"AMZ2",0
"A0.0PC1",-0.1164
"A0.0PC10",0
"A0.0PC11",-0.2048
"A0.0PC13",0.1346
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1432
"A0.0PC5",0.4557
"A0.0PC7",-0.2752
"A0.0PC7",-0.4884
"ANG",0.0615
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-0.2148
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",0.7523
"ANK3",1.0148
"ANKAR",0
"ANKDD1A",-0.1016
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.2217
"ANKH",0.1715
"ANKHD1",-0.5191
"ANKHD1",4.8623
"ANKHD1",-1.4415
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.1967
"ANKRA2",0
"ANKRD1",0.106
"ANKRD10",-0.0693
"ANKRD10",-0.4218
"ANKRD11",0
"ANKRD12",-0.1874
"ANKRD12",-0.0506
"ANKRD13A",0.3082
"ANKRD13A",1.0061
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.0561
"ANKRD15",1.6072
"ANKRD16",0
"ANKRD17",-0.2762
"ANKRD17",-0.1205
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
