"Gene","RELB"
"ARTS-1",-0.068543245
"ARV1",-0.332160726
"ARX",0.531149834
"AS3MT",0.125441062
"ASAHL",-0.76096311
"ASAM",0.112382459
"ASB1",0.631220876
"ASB13",0.131820913
"ASB16",-0.452331223
"ASB3",-0.195719116
"ASB8",0.014632679
"ASCC1",-1.629981636
"ASCC2",-0.379439123
"ASCC3",0.414740697
"ASCL1",-0.436840224
"ASCL2",0.206310342
"ASCL3",-0.331853537
"ASCL5",2.647223978
"ASF1A",-0.034523
"ASF1B",1.650570665
"ASGR2",0.280667475
"ASH1L",0.126853362
"ASH2L",-0.343143528
"ASL",-0.520130614
"ASNA1",-0.660609656
"ASNS",-0.008783588
"ASPHD2",0.150648397
"ASS1",0.187186177
"ASXL1",-0.00023482
"ASXL2",-1.195588827
"ATAD2",-0.388360994
"ATAD2B",-0.355071824
"ATAD3A",-0.239300876
"ATAD3B",0.559298401
"ATAD3C",-0.997774561
"ATBF1",1.222941571
"ATF2",0.02305187
"ATF3",-0.142642387
"ATF7",-0.063011765
"ATF7IP",0.161948695
"ATF7IP2",-0.078988165
"ATG16L1",1.135410206
"ATG5",-0.217120525
"ATG7",0.887348187
"ATHL1",-0.837385109
"ATM",0.428674938
"ATN1",-1.202475358
"ATOH1",0.214319879
"ATOH7",0.355021034
"ATOH8",0.086554307
"ATOX1",0.020863069
"ATP10B",-0.5772467
"ATP10D",0.215691708
"ATP11A",0.111116605
"ATP11C",-0.039331319
"ATP1A3",0.149609231
"ATP1B1",-1.017114097
"ATP1B4",-0.286241887
"ATP2A2",0.375448669
"ATP2B4",-0.02249187
"ATP2C1",0.59816589
"ATP4A",-0.645379891
"ATP5A1",0.048870752
"ATP5G2",-0.037806946
"ATP5H",-0.15995593
"ATP5I",-0.165671702
"ATP5J2",-0.008994612
"ATP5L",-2.136196698
"ATP6AP1",-0.017324488
"ATP6V0C",-0.088736602
"ATP6V0E1",-0.208594086
"ATP6V0E2",0.154996274
"ATP6V1A",-0.039576632
"ATP6V1B2",2.159397166
"ATP6V1C2",-0.918014608
"ATP6V1G1",0.237391477
"ATP6V1H",-0.652412384
"ATP7B",-1.034226069
"ATP8B1",-0.222096806
"ATPIF1",-0.068158001
"ATRNL1",-0.066234226
"ATRX",0.089886619
"ATXN1",-0.424682465
"ATXN3",2.426615924
"ATXN3L",0.044071444
"ATXN7",0.249835697
"ATXN7L1",-0.114723212
"ATXN7L3",0.022023141
"ATXN7L4",0.069971476
"AURKA",0.504354226
"AVIL",-0.023313274
"AVPR1A",-0.073836951
"AXUD1",0.279662661
"AZGP1",-0.659981047
"AZIN1",0.070736378
"B3GALNT1",-0.071887645
"B3GALT4",0.733009197
"B3GAT2",-0.009188492
"B3GAT3",0.249241203
"B3GNT2",-0.809411431
"B3GNT5",0.282962078
"B3GNT6",-0.268834149
"B4GALNT2",0.075957923
"B4GALT2",0.157483691
"B4GALT4",-0.95961378
"B4GALT5",-0.260277216
"B4GALT6",-0.024691206
"BACH1",1.103253167
"BACH2",-0.233000552
"BAG3",-0.052870624
"BAHD1",0.512888449
"BAMBI",0.014026924
"BANK1",0.201587446
"BAP1",0.454656535
"BAPX1",-0.042051574
"BARD1",-0.832149853
"BARHL1",-0.07646802
"BARHL2",0.046780871
"BARX1",-0.105048683
"BARX2",-0.403029173
"BASP1",-0.062242462
"BAT1",-1.580010331
"BATF",0.030485932
"BATF2",0.629292793
"BAZ1A",-1.266514103
"BAZ1B",1.610898189
"BAZ2A",-0.22426366
"BAZ2B",-0.050192872
"BBOX1",-0.611431995
"BBS10",-0.05622563
"BBS2",-0.368521776
"BBX",0.216891583
"BCAR1",-1.146643726
"BCAR3",-0.233689742
"BCAS2",0.481553479
"BCAS3",-0.170362825
"BCAT1",0.265748271
"BCDIN3",0.095733509
"BCKDHB",-0.377736769
"BCL10",0.767708443
"BCL11A",-0.161170453
"BCL11B",4.849416684
"BCL2",0.075388801
"BCL2L11",-0.018237153
"BCL3",-0.193291157
"BCL6",-1.129566326
"BCL6B",0.304791591
"BCL7A",-0.009052533
"BCL9",0.153802674
"BCL9L",-0.327778029
"BCLAF1",0.250133058
"BCOR",-0.058790053
"BCORL1",0.221232914
"BCR",-1.791658548
"BDH1",1.742113695
"BDKRB1",1.653756705
"BDKRB2",-0.813093739
"BDP1",0.215658837
"BEST4",0.240150253
"BFSP1",0.226081285
"BHLHB2",-2.16797622
"BHLHB3",-0.42296308
"BHLHB4",-1.084564494
"BHLHB5",-0.042622693
"BHLHB8",0.138766883
"BICC1",0.163457803
"BID",-3.000835464
"BIN1",1.461875449
"BIRC2",2.021082817
"BIRC3",0.173267319
"BIRC5",-0.030715289
"BLM",-0.565866774
"BLMH",2.620784343
"BLNK",-0.548680894
"BLOC1S2",0.064855001
"BLZF1",0.586908196
"BMI1",2.75008054
"BMP10",0.22427238
"BMP15",-0.300111369
"BMP2",-0.147405188
"BMP2K",-0.476404449
"BMP3",0.352504492
"BMP4",0.030507803
"BMP5",-0.821811328
"BMP6",-0.028206147
"BMP7",-0.535193752
"BMPER",0.266374269
"BMPR1A",-0.334048701
"BNC1",0.539031728
"BNC2",-0.144808049
"BNIPL",-0.806179808
"BPHL",-0.457605407
"BPIL1",0.265758956
"BPTF",-0.472385011
"BRAF",-0.107440253
"BRCA1",0.952812176
"BRCA2",0.300662806
"BRD3",0.516727552
"BRD7",0.156118841
"BRD8",-0.256739764
"BRDT",0.151383014
"BRF1",0.351546755
"BRF2",-0.193334119
"BRI3",0.010379132
"BRI3BP",0.12366008
"BRIP1",-0.007980207
"BRMS1L",-0.577010273
"BRPF1",0.163004519
"BRPF3",0.03599526
"BRUNOL4",0.132566222
"BRWD1",-0.25323948
"BRWD3",0.373005877
"BTAF1",-0.667051193
"BTBD11",-0.137524855
"BTBD14A",2.926780424
"BTBD14B",-0.3731732
"BTBD16",-0.38444463
"BTBD2",-0.115914894
"BTBD3",-0.65883755
"BTBD7",0.004237823
"BTD",-0.013322473
"BTF3",0.067353305
"BTG1",2.815162616
"BTG2",0.493625108
"BTN2A3",-0.037246769
"BTN3A1",0.300299297
"BTN3A2",1.492442053
