"Gene","TCF7L2"
"ALG9",-0.9082
"ALG9",-1.1558
"ALK",0.1389
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",0.0081
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.3674
"ALMS1",-0.0014
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",1.2789
"ALOX5",0
"ALOX5AP",0.4539
"ALOX5AP",0.4064
"ALOXE3",0.1384
"alpha-CP1",0
"ALPI",0.4458
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.8467
"ALS2CR13",-0.1303
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.5699
"ALS2CR8",0.9568
"ALX1",0
"ALX3",0.1698
"ALX4",0
"ALYREF",0
"AMAC1L2",0.5358
"AMACR",-0.8018
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.7837
"AMHR2",0
"AMIGO1",0
"AMIGO2",-2.3186
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.1883
"AMOT",0.8515
"AMOTL1",0
"AMOTL2",-0.2093
"AMPD1",0
"AMPD2",0
"AMPD3",-0.2201
"AMPD3",-0.4224
"AMPH",0
"AMPK gamma2",0
"AMT",0.6174
"AMT",0.6319
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.604
"AMZ2",0
"A0.0PC1",0.4718
"A0.0PC10",0
"A0.0PC11",-0.285
"A0.0PC13",0.2954
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1662
"A0.0PC5",1.4722
"A0.0PC7",-0.4994
"A0.0PC7",-0.6528
"ANG",1.0715
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-2.7451
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",-0.5749
"ANK3",-0.3972
"ANKAR",0
"ANKDD1A",-0.1232
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0.1317
"ANKH",0.2285
"ANKHD1",-0.3021
"ANKHD1",-3.5839
"ANKHD1",-1.3987
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.1683
"ANKRA2",0
"ANKRD1",1.3171
"ANKRD10",0.069
"ANKRD10",-0.2968
"ANKRD11",0
"ANKRD12",-0.0332
"ANKRD12",0.4723
"ANKRD13A",0.6569
"ANKRD13A",3.1895
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.1644
"ANKRD15",-3.9783
"ANKRD16",0
"ANKRD17",-0.049
"ANKRD17",-0.4419
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.4549
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0.3791
"ANKRD28",0.4845
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.7756
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",0.0278
"ANKRD42",0
"ANKRD43",0.2745
"ANKRD43",0.6678
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.797
"ANKRD47",0.8421
"ANKRD49",-0.4327
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",0.4559
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",-1.3162
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",2.0559
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.0924
"ANTXR2",-1.5836
"ANX14",0
"ANX3",0
"ANXA1",-0.0796
"ANXA10",0
"ANXA11",0.3625
"ANXA11",-0.1043
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.108
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.0216
"ANXA4",0.1047
"ANXA5",0.2938
"ANXA6",0
"ANXA7",0
"ANXA8",-0.0748
"ANXA8L1",0
"ANXA9",4.2303
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.1803
"AOF1",0.3852
"AOF2",-2.1502
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0092
"AP1M1",0.9321
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.13
"AP3B1",0
"AP3B2",0
"AP3D1",-0.2728
"AP3D1",5.5336
"AP3M1",0
"AP3M2",-0.0584
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.0813
"AP4E1",0
"AP4M1",0.4407
"AP4S1",-0.2198
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",0.1677
"APBA2",0.0055
"APBA3",0
"APBB1",0.7639
"APBB1",0.2444
"APBB1IP",0
"APBB2",0.2872
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",-2.0766
"APCDD1L",0
"APCS",0
"APE",0
"APEH",-0.1022
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",0.6888
"APLN",-0.1428
"APLN",2.6992
"APLNR",0
"APLP1",0
"APLP2",0.9579
"APLP2",-0.1915
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",-0.0125
"APOA2",0
"APOA4",0.6567
"APOA4",1.2417
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",0.6745
"APOBEC3A_B",0
"APOBEC3B",0.8082
"APOBEC3C",1.1847
"APOBEC3D",0
"APOBEC3F",1.0012
"APOBEC3G",0.5503
"APOBEC3H",0
"APOBEC4",0
"APOC1",3.0823
"APOC1",1.5387
"APOC3",0.5308
"APOC4",1.7655
"APOD",0
"APOE",-2.363
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.0546
"APOL6",0.6638
"APOL6",2.1818
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",2.4094
"APPBP2",0.018
"APPBP2",0.2203
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",1.3346
"AQP2",0.2212
"AQP2",-0.6771
"AQP3",0.3051
"AQP3",0.8194
"AQP4",0
"AQP5",0
"AQP6",0.4428
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",0.1402
"AQR",0
"AR",1.0707
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",0.0418
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",-0.1091
"ARF5",0
"ARF6",-0.4791
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-0.7287
"ARFGEF2",-0.4271
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
"ARHGAP1",0
"ARHGAP10",0
"ARHGAP11A",-0.1124
"ARHGAP11A",-1.0418
"ARHGAP11A",0.5797
"ARHGAP11B",0
