"Gene","FOS"
"ADORA2A",0.2323
"ADORA2B",0
"ADPGK",0
"ADPRH",0.4274
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",0.8633
"ADRB2",-0.2208
"ADRB3",0
"ADRBK1",0.0958
"ADRM1",0.4847
"ADRM1",0.443
"ADSL",0
"ADSS",0
"ADSSL1",0.4987
"ADTRP",0
"AEBP1",0.3259
"AEBP1",-0.0491
"AEBP2",-0.0181
"AEBP2",-0.4532
"AEGL1",0
"AEN",0
"AES",4.3991
"AES",0.0353
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",-0.0362
"AFDN",0
"AFF1",0.0994
"AFF1",0.5292
"AFF1",0.3399
"AFF2",0
"AFF3",0.3969
"AFF4",0.0123
"AFF4",-0.1323
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.1024
"AGFG1",0
"AGFG2",0
"AGGF1",0.28
"AGGF1",-0.1642
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0.2403
"AGPAT3",1.6508
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-0.7609
"AGPAT6",-0.3331
"AGPAT9",0
"AGPS",0
"AGR2",-1.0398
