"Gene","FOXN2"
"ADAR3",0
"ADARB1",0.0636
"ADARB1",-0.1311
"ADARB2",0
"ADAT1",0
"ADAT2",0
"ADAT3",0
"ADC",-0.4162
"ADC",-0.1695
"ADCK1",-0.1151
"ADCK2",-0.4234
"ADCK2",-0.4034
"ADCK5",0
"ADCY1",0
"ADCY10",0
"ADCY2",-0.2988
"ADCY3",-0.5289
"ADCY4",0
"ADCY5",0
"ADCY6",0
"ADCY7",0
"ADCY8",0
"ADCY9",0
"ADCYAP1",0
"ADCYAP1R1",0
"ADD1",-0.4849
"ADD1",-0.3047
"ADD2",0
"ADD3",0.2713
"ADD3",-0.4442
"ADGB",0
"ADGRA1",0
"ADGRA2",0
"ADGRA3",0
"ADGRB1",0
"ADGRB2",0
"ADGRB3",0
"ADGRD1",0
"ADGRD2",0
"ADGRE1",0
"ADGRE2",0
"ADGRE3",0
"ADGRE5",0
"ADGRF1",0
"ADGRF2",0
"ADGRF3",0
"ADGRF4",0
"ADGRF5",0
"ADGRG1",0
"ADGRG2",0
"ADGRG3",0
"ADGRG4",0
"ADGRG5",0
"ADGRG7",0
"ADGRL1",0
"ADGRL2",0
"ADGRL3",0
"ADGRL4",0
"ADGRV1",0
"ADH1",0
"ADH1A",0
"ADH1B",0
"ADH1C",0
"ADH2",0
"ADH4",0
"ADH5",0
"ADH6",0
"ADH7",0
"ADHFE1",0
"ADI1",0
"ADIG",0
"ADIPOQ",0
"ADIPOR1",0
"ADIPOR2",0
"ADIR",0
"ADIRF",0
"ADK",0
"adk2",0
"ADM",-0.0408
"ADM2",0
"ADM5",0
"ADMR",0
"ADNP",0.7889
"ADNP",-0.5463
"ADNP2",0
"ADO",0
"ADORA1",0
"ADORA2A",-1.3545
"ADORA2A",-0.3899
"ADORA2B",0
"ADPGK",0
"ADPRH",-0.2002
"ADPRHL1",0
"ADPRHL2",0
"ADPRM",0
"ADPRT3",0
"ADRA1A",0
"ADRA1B",0
"ADRA1D",0
"ADRA2B",0
"ADRA2C",0
"ADRB1",-0.039
"ADRB2",-0.2392
"ADRB3",0
"ADRBK1",-0.1233
"ADRM1",0.5358
"ADRM1",0.3204
"ADSL",0
"ADSS",0
"ADSSL1",-0.1916
"ADTRP",0
"AEBP1",0.3755
"AEBP1",-0.2384
"AEBP2",-0.2936
"AEBP2",-0.1011
"AEGL1",0
"AEN",0
"AES",-0.5715
"AES",0.0141
"AF009267",0
"AF010144",0
"AF011757",0
"AF026246",0
"AF037219",0
"AF038169",0
"AF053356-CDS2",0
"AF053356_CDS3",0
"AF060862",0
"AF072164",0
"AF086044",0
"AF086205",0
"AF086216",0
"AF086321",0
"AF086429",0
"AF086536",0
"AF086551",0
"AF086790",0
"AF090926",0
"AF090930",0
"AF093680",0
"AF10",0
"AF10CALM",0
"AF116619",0
"AF116642",0
"AF116667",0
"AF116688",0
"AF116719",0
"AF119852",0
"AF119913",0
"AF130099",0
"AF131762",0
"AF131782",0
"AF140225",0
"AF143879",0
"AF144054",0
"AF15Q14",0
"AF227517",0
"AF241539",0
"AF289610",0
"AF289615",0
"AF311304",0
"AF318321",0
"AF351612",0
"AF3P21",0
"AF531436",0
"AF5Q31",0
"AFAP1",0
"AFAP1L1",0
"AFAP1L2",0
"AFAR3",0.0384
"AFDN",0
"AFF1",0.1674
"AFF1",0.2246
"AFF1",-0.0548
"AFF2",0
"AFF3",-0.164
"AFF4",-0.2697
"AFF4",0.2801
"AFG3L2",0
"AFM",0
"AFMID",0
"AFP",0
"AFTPH",0
"AGA",0
"AGAP1",0
"AGAP11",0
"AGAP2",0
"AGAP3",0
"AGAP4",0
"AGAP5",0
"AGAP7",0
"AGAP8",0
"AGBL1",0
"AGBL2",0
"AGBL3",0
"AGBL4",0
"AGBL5",0
"AGC1",0
"AGER",-0.7944
"AGFG1",0
"AGFG2",0
"AGGF1",0.1626
"AGGF1",0.1856
"AGK",0
"AGL",0
"AGMAT",0
"AGMO",0
"AGO1",0
"AGO2",0
"AGO3",0
"AGO4",0
"AGPAT1",0
"AGPAT2",0
"AGPAT3",0.0547
"AGPAT3",0.8058
"AGPAT4",0
"AGPAT4-IT1",0
"AGPAT5",0
"AGPAT6",-1.5427
"AGPAT6",-0.7816
"AGPAT9",0
"AGPS",0
"AGR2",-1.6528
"AGR3",0
"AGRIN",-1.0351
"AGRIN",0.3446
"AGRN",0
"AGRP",-0.0705
"AGS1",0
"AGT",0.0444
"AGTPBP1",0
"AGTR1",-0.0446
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",-0.4869
"AHCTF1",-0.1271
"AHCTF1",1.3991
"AHCY",-0.1442
"AHCY",4.2622
"AHCYL1",0.2619
"AHCYL2",0
"AHDC1",-0.3399
"AHDC1",-0.2785
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.2552
"AHRR",0.0089
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",-0.2468
"AIG1",-0.011
"aik2",0
"aik3",0
"AIM1",0.1218
"AIM1L",-0.0478
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.0236
"AIP",0.2697
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",-0.0991
"AIRE",0.1381
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.6405
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
