"Gene","FOSB"
"AGR2",-1.1268
"AGR3",0
"AGRIN",-0.3149
"AGRIN",0.2565
"AGRN",0
"AGRP",2.6289
"AGS1",0
"AGT",0.4249
"AGTPBP1",0
"AGTR1",0.5615
"AGTR1B",0
"AGTR2",0
"AGTRAP",0
"AGTRL2",0
"AGXT",0
"AGXT2",0
"AGXT2L1",0
"AGXT2L2",0.0026
"AHCTF1",0.017
"AHCTF1",1.5395
"AHCY",0.0062
"AHCY",0.1799
"AHCYL1",0.3621
"AHCYL2",0
"AHDC1",-0.3795
"AHDC1",0.2792
"AHI1",0
"AH0.0K",0
"AH0.0K2",0
"AHR",-2.6227
"AHRR",0.266
"AHSA1",0
"AHSP",0
"AI140519",0
"AI161396",0
"AI240896",0
"AI719574",0
"AI791206",0
"AI887037",0
"AI922845",0
"AICDA",0
"AIDA",0
"aie-75",0
"AIF1",0
"AIF1L",0
"AIFM1",0
"AIFM2",0
"AIFM3",0.3029
"AIG1",-0.3373
"aik2",0
"aik3",0
"AIM1",-0.3224
"AIM1L",-0.1546
"AIM2",0
"AIMP1",0
"AIMP2",0
"AIP",-0.2479
"AIP",-0.2609
"AIP-1",0
"AIPC",0
"AIPL1",0
"AIRE",0.5276
"AIRE",0.8053
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.1267
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",0.6705
"AK2",0.3021
"AK3",-0.3199
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",1.0819
"AK5",0.8557
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",0.578
"AKAP13",0.1063
"AKAP13",0.2351
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",-0.0302
"AKAP8",0
"AKAP8L",-0.22
"AKAP9",1.5171
"AKAP9",0.2266
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",0.9941
"AK0.0D1",0
"AKR1A1",-0.1685
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",0.3523
"AKR1C1",0.2669
"AKR1C1",-0.3799
"AKR1C2",0
"AKR1C3",2.2455
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",0.6313
"AKT3",0.0911
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.1561
"ALDH1A3",-0.2036
"ALDH1B1",-0.3768
"ALDH1B1",0.0018
"ALDH1L1",0
"ALDH1L2",0.055
"ALDH2",0
"ALDH3A1",0.8561
"ALDH3A2",-0.4294
"ALDH3B1",0
"ALDH3B2",-0.1257
"ALDH4A1",-0.3245
"ALDH4A1",-0.9926
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.3865
"ALDH7A1",-0.3053
"ALDH8A1",0
"ALDH9A1",-1.3921
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",1.1464
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-1.0286
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-0.2621
"ALG9",-0.1911
"ALK",0.3506
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.2535
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.2537
"ALMS1",0.4373
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",-0.08
"ALOX5",0
"ALOX5AP",0.9178
"ALOX5AP",0.2512
"ALOXE3",0.5801
"alpha-CP1",0
"ALPI",0.5056
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.9494
"ALS2CR13",-0.4022
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.283
"ALS2CR8",0.6098
"ALX1",0
"ALX3",0.3621
"ALX4",0
"ALYREF",0
"AMAC1L2",0.2732
"AMACR",-0.1392
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3207
"AMHR2",0
"AMIGO1",0
"AMIGO2",-0.9303
"AMIGO3",0
