"Gene","OVOL2"
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.255
"AMHR2",0
"AMIGO1",0
"AMIGO2",0.1936
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.8614
"AMOT",0.0736
"AMOTL1",0
"AMOTL2",-0.1941
"AMPD1",0
"AMPD2",0
"AMPD3",-3.1041
"AMPD3",2.3481
"AMPH",0
"AMPK gamma2",0
"AMT",-0.0325
"AMT",0.2847
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.1751
"AMZ2",0
"A0.0PC1",-0.4967
"A0.0PC10",0
"A0.0PC11",-0.1488
"A0.0PC13",-1.6357
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",-0.1479
"A0.0PC5",2.7269
"A0.0PC7",-0.6565
"A0.0PC7",-0.9199
"ANG",0.5445
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",-0.5054
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",-0.4864
"ANK3",-0.2551
"ANKAR",0
"ANKDD1A",0.0987
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",-0.3177
"ANKH",0.0079
"ANKHD1",-0.9696
"ANKHD1",-5.8975
"ANKHD1",-1.7138
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",-0.2633
"ANKRA2",0
"ANKRD1",0.1712
"ANKRD10",-0.2802
"ANKRD10",-0.048
"ANKRD11",0
"ANKRD12",-0.0278
"ANKRD12",0.0341
"ANKRD13A",-0.3579
"ANKRD13A",0.5956
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",-0.2642
"ANKRD15",2.042
"ANKRD16",0
"ANKRD17",0.2169
"ANKRD17",-0.6756
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",0.1235
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",-0.5181
"ANKRD28",-0.8706
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.1983
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",-0.2681
"ANKRD42",0
"ANKRD43",-0.0996
"ANKRD43",0.1553
"ANKRD44",0
"ANKRD46",0
"ANKRD47",1.7493
"ANKRD47",-0.3206
"ANKRD49",0.7852
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-3.7949
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",-0.1883
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",0.5262
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",-0.3721
"ANTXR2",-0.4831
"ANX14",0
"ANX3",0
"ANXA1",-0.2769
"ANXA10",0
"ANXA11",-0.2381
"ANXA11",0.3289
"ANXA13",0
"ANXA2",0
"ANXA2P1",0.1325
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.1418
"ANXA4",-0.372
"ANXA5",0.2052
"ANXA6",0
"ANXA7",0
"ANXA8",-0.1528
"ANXA8L1",0
"ANXA9",-0.0405
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.3524
"AOF1",-0.4679
"AOF2",-1.6808
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",0.0832
"AP1M1",-0.1963
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",-0.1198
"AP3B1",0
"AP3B2",0
"AP3D1",-0.341
"AP3D1",4.9713
"AP3M1",0
"AP3M2",-0.4237
"AP3S1",0
"AP3S2",0
"AP4",0
"AP4B1",-0.7563
"AP4E1",0
"AP4M1",-0.2928
"AP4S1",-0.0475
"AP5B1",0
"AP5M1",0
"AP5S1",0
"AP5Z1",0
"APAF1",0
"APBA1",0
"APBA2",-0.4529
"APBA2",-0.5168
"APBA3",0
"APBB1",0.1496
"APBB1",-0.9887
"APBB1IP",0
"APBB2",0.6066
"APBB3",0
"APC",0
"APC10",0
"APC2",0
"APCDD1",-2.1802
"APCDD1L",0
"APCS",0
"APE",0
"APEH",0.3699
"APEX1",0
"APEX2",0
"apg-2",0
"APG5L",0
"APH1A",0
"APH1B",0
"API5",0
"APIP",0
"APITD1",0
"APLF",0
"APLN",-0.2456
"APLN",-1.0496
"APLN",4.3097
"APLNR",0
"APLP1",0
"APLP2",1.1813
"APLP2",0.9821
"APM1",0
"APMAP",0
"APMCF1",0
"APNH",0
"APOA1",0
"APOA1BP",0.1359
"APOA2",0
"APOA4",-0.1065
"APOA4",-0.1936
"APOA5",0
"apoargC",0
"APOARGC",0
"APOB",0
"APOB48R",0
"APOBEC1",0
"APOBEC2",0
"APOBEC3A",-6.1734
"APOBEC3A_B",0
"APOBEC3B",0.7117
"APOBEC3C",2.065
"APOBEC3D",0
"APOBEC3F",1.4117
"APOBEC3G",-0.7868
"APOBEC3H",0
"APOBEC4",0
"APOC1",1.2102
"APOC1",0.8768
"APOC3",-0.1972
"APOC4",-0.0254
"APOD",0
"APOE",-3.3375
"APOF",0
"APOH",0
"APOL1",0
"APOL2",0
"APOL3",0
"APOL4",0
"APOL5",0
"APOL6",0.097
"APOL6",-0.0427
"APOL6",0.5516
"APOLD1",0
"APOLIV",0
"APOM",0
"APOO",0
"APOOL",0
"APOPT1",0
"APP",-1.3905
"APPBP2",-0.0873
"APPBP2",-0.194
"APPILS",0
"APPL",0
"APPL1",0
"APPL2",0
"42826.0000",0
"42827.0000",0
"42828.0000",0
"APRT",0
"APTX",0
"AQP1",0
"AQP10",0
"AQP11",0
"AQP12A",-0.0124
"AQP2",-0.7185
"AQP2",-0.6036
"AQP3",0.2205
"AQP3",0.5113
"AQP4",0
"AQP5",0
"AQP6",0.5116
"AQP7",0
"AQP7P1",0
"AQP7P3",0
"AQP8",0
"AQP9",-0.0939
"AQR",0
"AR",0.396
"ARAF",0
"ARAP1",0
"ARAP2",0
"ARAP3",0
"ARC",0
"ARC20",0
"ARCN1",0
"AREG",-0.1121
"AREL1",0
"ARF1",0
"ARF3",0
"ARF4",-0.0863
"ARF5",0
"ARF6",6.3739
"ARFGAP1",0
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",-2.6065
"ARFGEF2",-0.4452
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",0
"ARFRP1",0
"ARG1",0
"ARG2",0
"ARGFX",0
"ARGLU1",0
