"Gene","CREB5"
"AIRE",0.5209
"AIRE",0.5574
"airm",0
"AJ227863",0
"AJ293393",0
"AJ307469",0
"AJ312026",0
"AJ312027",0
"AJAP1",0.3624
"AJUBA",0
"AK000085",0
"AK000144",0
"AK000420",0
"AK000809",0
"AK000925",0
"AK000954",0
"AK001089",0
"AK001118",0
"AK001120",0
"AK001808",0
"AK001846",0
"AK021554",0
"AK021570",0
"AK021595",0
"AK021606",0
"AK021744",0
"AK021804",0
"AK021824",0
"AK021842",0
"AK021906",0
"AK022004",0
"AK022016",0
"AK022020",0
"AK022044",0
"AK022062",0
"AK022066",0
"AK022083",0
"AK022086",0
"AK022109",0
"AK022140",0
"AK022150",0
"AK022183",0
"AK022204",0
"AK022223",0
"AK022268",0
"AK022299",0
"AK022337",0
"AK022339",0
"AK022346",0
"AK022351",0
"AK022364",0
"AK022443",0
"AK022479",0
"AK023018",0
"AK023048",0
"AK023086",0
"AK023391",0
"AK023400",0
"AK023412",0
"AK023472",0
"AK023526",0
"AK023542",0
"AK023572",0
"AK023647",0
"AK023660",0
"AK023737",0
"AK023756",0
"AK023774",0
"AK023831",0
"AK023892",0
"AK023954",0
"AK024147",0
"AK024243",0
"AK024315",0
"AK024382",0
"AK024389",0
"AK024470",0
"AK024566",0
"AK024898",0
"AK024900",0
"AK024926",0
"AK024937",0
"AK024956",0
"AK025047",0
"AK025082",0
"AK025360",0
"AK025669",0
"AK025887",0
"AK026020",0
"AK026418",0
"AK026477",0
"AK026517",0
"AK026896",0
"AK026903",0
"AK027091",0
"AK027173",0
"AK027209",0
"AK027315",0
"AK027541",0
"AK027667",0
"AK054718",0
"AK054840",0
"AK054895",0
"AK055438",0
"AK055501",0
"AK055821",0
"AK056630",0
"AK056744",0
"AK057088",0
"AK057576",0
"AK057652",0
"AK074144",0
"AK074181",0
"AK074696",0
"AK090397",0
"AK090405",0
"AK090407",0
"AK090463",0
"AK090477",0
"AK090897",0
"AK091057",0
"AK091308",0
"AK091744",0
"AK092349",0
"AK092379",0
"AK092468",0
"AK092668",0
"AK092810",0
"AK093416",0
"AK093532",0
"AK093987",0
"AK094154",0
"AK094175",0
"AK094334",0
"AK094447",0
"AK094623",0
"AK095167",0
"AK095300",0
"AK095583",0
"AK095707",0
"AK095791",0
"AK096241",0
"AK096250",0
"AK096500",0
"AK096674",0
"AK096677",0
"AK097085",0
"AK097197",0
"AK097322",0
"AK097472",0
"AK098081",0
"AK098134",0
"AK098220",0
"AK098427",0
"AK098478",0
"AK098511",0
"AK098597",0
"AK1",0
"AK123483",0
"AK123627",0
"AK123765",0
"AK123861",0
"AK124166",0
"AK124173",0
"AK124263",0
"AK124281",0
"AK124352",0
"AK124426",0
"AK124470",0
"AK124841",0
"AK124941",0
"AK125129",0
"AK126329",0
"AK128103",0
"AK128396",0
"AK128559",0
"AK128814",0
"AK129547",0
"AK129956",0
"AK130099",0
"AK130644",0
"AK130891",0
"AK2",-0.0283
"AK2",0.573
"AK3",-0.6521
"AK304575",0
"AK3L1",0
"AK4",0
"AK5",0.9281
"AK5",0.7482
"AK6",0
"AK7",0
"AK8",0
"AK9",0
"AKAIN1",0
"AKAP1",0
"AKAP10",0
"AKAP11",0
"AKAP12",0.4265
"AKAP13",0.116
"AKAP13",0.0122
"AKAP14",0
"AKAP17A",0
"AKAP2",0
"AKAP3",0
"AKAP4",0
"AKAP5",0
"AKAP6",0
"AKAP7",0.1034
"AKAP8",0
"AKAP8L",-0.4756
"AKAP9",1.1261
"AKAP9",0.441
"AKD1",0
"AKIP1",0
"AKIRIN1",0
"AKIRIN2",0
"AK0.0",0.7027
"AK0.0D1",0
"AKR1A1",-0.2984
"AKR1B1",0
"AKR1B10",0
"AKR1B15",0
"AKR1C1",0.093
"AKR1C1",-0.9901
"AKR1C1",-2.0513
"AKR1C2",0
"AKR1C3",0.7571
"AKR1C4",0
"AKR1D1",0
"AKR1E2",0
"AKR7A2",0
"AKR7A3",0
"AKT1",0
"AKT1S1",0
"AKT2",0
"AKT3",0.506
"AKT3",0.329
"AKTIP",0
"AL049390",0
"AL050122",0
"AL050185",0
"AL079294",0
"AL080082",0
"AL080232",0
"AL109784",0
"AL134462",0
"AL137318",0
"AL137400",0
"AL359650",0
"AL390143",0
"AL390214",0
"AL832142",0
"AL832146",0
"AL832806",0
"AL832820",0
"AL833114",0
"AL833452",0
"AL833696",0
"AL834280",0
"ALAD",0
"ALAS1",0
"ALAS2",0
"ALB",0
"ALCAM",0
"ALDH1",0
"ALDH12",0
"ALDH16A1",0
"ALDH18A1",0
"ALDH1A1",0
"ALDH1A2",0
"ALDH1A3",0.1397
"ALDH1A3",-0.0015
"ALDH1B1",-0.4055
"ALDH1B1",0.0402
"ALDH1L1",0
"ALDH1L2",0.2628
"ALDH2",0
"ALDH3A1",0.6501
"ALDH3A2",-0.3485
"ALDH3B1",0
"ALDH3B2",0.2112
"ALDH4A1",-0.469
"ALDH4A1",-1.1282
"ALDH5",0
"ALDH5A1",0
"ALDH6A1",0.1026
"ALDH7A1",-0.3864
"ALDH8A1",0
"ALDH9A1",-2.1481
"ALDOA",0
"ALDOAP2",0
"ALDOB",0
"ALDOC",0
"ALEX3",0
"ALG1",0
"ALG10",0
"ALG10B",0
"ALG11",0
"ALG12",0
"ALG13",0.7216
"ALG14",0
"ALG1L",0
"ALG1L2",0
"ALG2",-1.4218
"ALG3",0
"ALG5",0
"ALG6",0
"ALG8",0
"ALG9",-1.219
"ALG9",0.7756
"ALK",0.0566
"ALKBH1",0
"ALKBH2",0
"ALKBH3",0
"ALKBH4",-0.1045
"ALKBH5",0
"ALKBH6",0
"ALKBH7",0
"ALKBH8",0
"ALMS1",0.2106
"ALMS1",0.2476
"ALOX12",0
"ALOX12B",0
"ALOX12E",0
"ALOX12P2",0
"ALOX15",0
"ALOX15B",0.3145
"ALOX5",0
"ALOX5AP",0.6297
"ALOX5AP",-0.0504
"ALOXE3",0.4393
"alpha-CP1",0
"ALPI",0.4271
"ALPK1",0
"ALPK2",0
"ALPK3",0
"ALPL",0
"ALPP",0
"ALPPL2",0
"ALR",0
"ALS2",0
"ALS2CL",0
"ALS2CR11",0
"ALS2CR12",0
"ALS2CR13",0.7207
"ALS2CR13",-0.4561
"ALS2CR2",0
"ALS2CR4",0
"ALS2CR8",0.1228
"ALS2CR8",0.4464
"ALX1",0
"ALX3",-0.123
"ALX4",0
"ALYREF",0
"AMAC1L2",0.2113
"AMACR",-0.2629
"AMBN",0
"AMBP",0
"AMBRA1",0
"AMD1",0
"AMDHD1",0
"AMDHD2",0
"AMELX",0
"AMELY",0
"AMER1",0
"AMER2",0
"AMER3",0
"AMFR",0
"AMH",0.3836
"AMHR2",0
"AMIGO1",0
"AMIGO2",-1.3023
"AMIGO3",0
"AML1",0
"AML1 delta-N",0
"AML1AMP19 fusion",0
"AML1EAP",0
"AMMECR1",0
"AMMECR1L",0
"AMN",0
"AMN1",0
"AMOT",-0.5213
"AMOT",-0.0441
"AMOTL1",0
"AMOTL2",0.0088
"AMPD1",0
"AMPD2",0
"AMPD3",1.2592
"AMPD3",0.893
"AMPH",0
"AMPK gamma2",0
"AMT",0.2732
"AMT",0.0331
"AMTN",0
"AMY1A",0
"AMY2A",0
"AMY2B",0
"AMZ1",0.5001
"AMZ2",0
"A0.0PC1",0.6224
"A0.0PC10",0
"A0.0PC11",-0.1262
"A0.0PC13",1.7244
"A0.0PC15",0
"A0.0PC16",0
"A0.0PC2",0
"A0.0PC4",0
"A0.0PC5",0.0078
"A0.0PC5",0.2344
"A0.0PC7",0.1248
"A0.0PC7",0.2185
"ANG",1.3377
"ANG-3",0
"ANGEL1",0
"ANGEL2",0
"ANGPT1",0
"ANGPT2",0
"ANGPT4",0
"ANGPTL1",0
"ANGPTL2",0
"ANGPTL3",0
"ANGPTL4",0.9967
"ANGPTL5",0
"ANGPTL6",0
"ANGPTL7",0
"ANGPTL8",0
"ANHX",0
"ANK",0
"ANK1",0
"ANK2",0
"ANK3",2.066
"ANK3",2.1107
"ANKAR",0
"ANKDD1A",0.0578
"ANKEF1",0
"ANKFN1",0
"ANKFY1",0
"ANKH",0.1157
"ANKH",0.0822
"ANKHD1",-0.1466
"ANKHD1",-5.3012
"ANKHD1",-0.5769
"ANKHD1-EIF4EBP3",0
"ANKHZN",0
"ANKIB1",0
"ANKK1",0
"ANKLE1",0
"ANKLE2",0
"ANKMY1",0
"ANKMY2",0.0904
"ANKRA2",0
"ANKRD1",0.7599
"ANKRD10",0.2913
"ANKRD10",-0.2148
"ANKRD11",0
"ANKRD12",0.141
"ANKRD12",0.0976
"ANKRD13A",0.054
"ANKRD13A",-2.7926
"ANKRD13B",0
"ANKRD13C",0
"ANKRD13D",0
"ANKRD15",0.0675
"ANKRD15",0.4523
"ANKRD16",0
"ANKRD17",0.8798
"ANKRD17",-0.1777
"ANKRD18A",0
"ANKRD18B",0
"ANKRD19",0
"ANKRD19P",0
"ANKRD2",0
"ANKRD20A1",0
"ANKRD20A2",0
"ANKRD20A3",0
"ANKRD20A4",0
"ANKRD20A8P",0
"ANKRD20A9P",0
"ANKRD22",-0.6461
"ANKRD23",0
"ANKRD24",0
"ANKRD26",0
"ANKRD27",0
"ANKRD28",0.1199
"ANKRD28",0.6388
"ANKRD29",0
"ANKRD3",0
"ANKRD30A",0.6293
"ANKRD30B",0
"ANKRD31",0
"ANKRD33",0
"ANKRD33B",0
"ANKRD34A",0
"ANKRD34B",0
"ANKRD35",0
"ANKRD36",0
"ANKRD36B",0
"ANKRD37",0
"ANKRD39",0
"ANKRD40",0.0849
"ANKRD42",0
"ANKRD43",-0.0803
"ANKRD43",0.3547
"ANKRD44",0
"ANKRD46",0
"ANKRD47",0.825
"ANKRD47",0.0936
"ANKRD49",0.0239
"ANKRD50",0
"ANKRD52",0
"ANKRD53",0
"ANKRD54",0
"ANKRD55",0
"ANKRD57",-0.781
"ANKRD6",0
"ANKRD61",0
"ANKRD62",0
"ANKRD63",0
"ANKRD65",0
"ANKRD7",0
"ANKRD9",0
"ANKS1A",0
"ANKS1B",0
"ANKS3",0
"ANKS4B",0
"ANKS6",0
"ANKTM1",0
"ANKUB1",0
"ANKZF1",0
"ANLN",4.8072
"ANO1",0
"ANO10",0
"ANO2",0
"ANO3",0
"ANO4",0
"ANO5",0
"ANO6",0
"ANO7",0
"ANO8",0
"ANO9",0
"ANOS1",0
"ANOS2P",0
"ANP32A",1.9318
"ANP32B",0
"ANP32C",0
"ANP32D",0
"ANP32E",0
"ANPEP",0
"anti-colorectal carcinoma heavy chain",0
"anti-colorectal carcinoma light chain",0
"ANTXR1",0
"ANTXR2",0.4625
"ANTXR2",-1.8754
"ANX14",0
"ANX3",0
"ANXA1",-0.1887
"ANXA10",0
"ANXA11",0.7896
"ANXA11",0.003
"ANXA13",0
"ANXA2",0
"ANXA2P1",-0.0815
"ANXA2P2",0
"ANXA2R",0
"ANXA3",0.0827
"ANXA4",0.3601
"ANXA5",0.0554
"ANXA6",0
"ANXA7",0
"ANXA8",0.0177
"ANXA8L1",0
"ANXA9",1.7163
"AOAH",0
"AOC1",0
"AOC2",0
"AOC3",0
"AOF1",-0.1398
"AOF1",0.1526
"AOF2",-0.7137
"AOX",0
"AOX1",0
"AP-2B",0
"AP1AR",0
"AP1G1",0
"AP1G2",0
"AP1GBP1",-0.0025
"AP1M1",2.1988
"AP1M2",0
"AP1S1",0
"AP1S2",0
"AP1S3",0
"AP2A1",0
"AP2A2",0
"AP2B1",0
"AP2M1",0
"AP2S1",0.1859
"AP3B1",0
"AP3B2",0
"AP3D1",0.2772
"AP3D1",2.4454
"AP3M1",0
"AP3M2",-0.0558
"AP3S1",0
